"Region","Country","source","Data_status","Year","Month","season_nMonth","cases","cum_todate_cases_year","Predicted_total_seasonal_cases","Ave_season_monthly_cases","Ave_monthly_proportion","Ave_season_monthly_cum_cases","Ave_cum_monthly_proportion"
"South America","Argentina","PAHO","Observed",2026,5,10,1,81,1715,4241,0.16,56040,0.95
"South America","Argentina","WHO","Observed",2026,6,11,2,83,1715,884,0.03,56923,0.99
"South America","Argentina","PAHO","Observed",2026,7,12,2,85,1715,315,0.01,57238,1
"South America","Argentina","Estimates","Unobserved",2026,8,1,22,107,NA,50,0.01,50,0.01
"South America","Argentina",NA,"Unobserved",2026,9,2,NA,NA,NA,123,0.01,173,0.02
"South America","Argentina",NA,"Unobserved",2026,10,3,NA,NA,NA,96,0.02,268,0.05
"South America","Argentina",NA,"Unobserved",2026,11,4,NA,NA,NA,158,0.02,426,0.07
"South America","Argentina",NA,"Unobserved",2026,12,5,NA,NA,NA,1605,0.07,2031,0.14
"Caribbean","Antigua And Barbuda","WHO","Observed",2025,1,10,0,0,2,54,0.19,236,0.77
"Caribbean","Antigua And Barbuda","WHO","Observed",2025,2,11,0,0,2,27,0.13,263,0.9
"Caribbean","Antigua And Barbuda","PAHO","Observed",2025,3,12,2,2,2,17,0.1,280,1
"Caribbean","Antigua And Barbuda","PAHO","Observed",2025,4,1,1,3,17,5,0.02,5,0.02
"Caribbean","Antigua And Barbuda","PAHO","Observed",2025,5,2,1,4,17,9,0.04,14,0.06
"Caribbean","Antigua And Barbuda","PAHO","Observed",2025,6,3,2,6,17,8,0.03,22,0.1
"Caribbean","Antigua And Barbuda","PAHO","Observed",2025,7,4,2,8,17,10,0.04,32,0.14
"Caribbean","Antigua And Barbuda","PAHO","Observed",2025,8,5,2,10,17,20,0.07,52,0.21
"Caribbean","Antigua And Barbuda","PAHO","Observed",2025,9,6,4,14,17,23,0.08,74,0.28
"Caribbean","Antigua And Barbuda","PAHO","Observed",2025,10,7,1,15,17,27,0.08,101,0.36
"Caribbean","Antigua And Barbuda","Estimates","Unobserved",2025,11,8,0,15,17,33,0.1,134,0.46
"Caribbean","Antigua And Barbuda","Estimates","Unobserved",2025,12,9,0,15,17,48,0.12,182,0.58
"Caribbean","Antigua And Barbuda","PAHO","Observed",2026,1,10,2,2,17,54,0.19,236,0.77
"Caribbean","Antigua And Barbuda","PAHO","Observed",2026,2,11,2,4,17,27,0.13,263,0.9
"Caribbean","Antigua And Barbuda","WHO","Observed",2026,3,12,0,4,17,17,0.1,280,1
"Caribbean","Antigua And Barbuda","WHO","Observed",2026,4,1,0,4,42,5,0.02,5,0.02
"Caribbean","Antigua And Barbuda","WHO","Observed",2026,5,2,0,4,42,9,0.04,14,0.06
"Caribbean","Antigua And Barbuda","PAHO","Observed",2026,6,3,4,8,42,8,0.03,22,0.1
"Caribbean","Antigua And Barbuda","Estimates","Unobserved",2026,7,4,1,9,42,10,0.04,32,0.14
"Caribbean","Antigua And Barbuda","Estimates","Unobserved",2026,8,5,1,10,42,20,0.07,52,0.21
"Caribbean","Antigua And Barbuda",NA,"Unobserved",2026,9,6,NA,NA,42,23,0.08,74,0.28
"Caribbean","Antigua And Barbuda",NA,"Unobserved",2026,10,7,NA,NA,42,27,0.08,101,0.36
"Caribbean","Antigua And Barbuda",NA,"Unobserved",2026,11,8,NA,NA,42,33,0.1,134,0.46
"Caribbean","Antigua And Barbuda",NA,"Unobserved",2026,12,9,NA,NA,42,48,0.12,182,0.58
"Pacific Islands","Australia","WHO","Observed",2025,1,5,283,283,1459,176,0.12,542,0.4
"Pacific Islands","Australia","WHO","Observed",2025,2,6,220,503,1459,142,0.1,684,0.49
"Pacific Islands","Australia","WHO","Observed",2025,3,7,219,722,1459,141,0.1,825,0.59
"Pacific Islands","Australia","WHO","Observed",2025,4,8,195,917,1459,142,0.09,967,0.68
"Pacific Islands","Australia","WHO","Observed",2025,5,9,135,1052,1459,131,0.09,1097,0.76
"Pacific Islands","Australia","WHO","Observed",2025,6,10,120,1172,1459,106,0.08,1203,0.84
"Pacific Islands","Australia","WHO","Observed",2025,7,11,159,1331,1459,117,0.09,1320,0.93
"Pacific Islands","Australia","WHO","Observed",2025,8,12,128,1459,1459,87,0.07,1407,1
"Pacific Islands","Australia","WHO","Observed",2025,9,1,86,1545,1254,75,0.06,75,0.06
"Pacific Islands","Australia","WHO","Observed",2025,10,2,146,1691,1254,99,0.08,174,0.13
"Pacific Islands","Australia","WHO","Observed",2025,11,3,119,1810,1254,94,0.07,268,0.21
"Pacific Islands","Australia","WHO","Observed",2025,12,4,114,1924,1254,98,0.07,366,0.28
"Pacific Islands","Australia","WHO","Observed",2026,1,5,222,222,1254,176,0.12,542,0.4
"Pacific Islands","Australia","WHO","Observed",2026,2,6,100,322,1254,142,0.1,684,0.49
"Pacific Islands","Australia","WHO","Observed",2026,3,7,81,403,1254,141,0.1,825,0.59
"Pacific Islands","Australia","WHO","Observed",2026,4,8,70,473,1254,142,0.09,967,0.68
"Pacific Islands","Australia","WHO","Observed",2026,5,9,56,529,1254,131,0.09,1097,0.76
"Pacific Islands","Australia","WHO","Observed",2026,6,10,71,600,1254,106,0.08,1203,0.84
"Pacific Islands","Australia","WHO","Observed",2026,7,11,101,701,1254,117,0.09,1320,0.93
"Pacific Islands","Australia","Estimates","Unobserved",2026,8,12,88,789,1254,87,0.07,1407,1
"Pacific Islands","Australia",NA,"Unobserved",2026,9,1,NA,NA,NA,75,0.06,75,0.06
"Pacific Islands","Australia",NA,"Unobserved",2026,10,2,NA,NA,NA,99,0.08,174,0.13
"Pacific Islands","Australia",NA,"Unobserved",2026,11,3,NA,NA,NA,94,0.07,268,0.21
"Pacific Islands","Australia",NA,"Unobserved",2026,12,4,NA,NA,NA,98,0.07,366,0.28
"Sub-Saharan Africa","Burkina Faso","WHO","Observed",2025,1,9,4242,4242,10941,2220,0.05,52859,0.92
"Sub-Saharan Africa","Burkina Faso","WHO","Observed",2025,2,10,2543,6785,10941,1602,0.03,54460,0.95
"Sub-Saharan Africa","Burkina Faso","WHO","Observed",2025,3,11,2130,8915,10941,1196,0.03,55657,0.98
"Sub-Saharan Africa","Burkina Faso","WHO","Observed",2025,4,12,2026,10941,10941,1119,0.02,56776,1
"Sub-Saharan Africa","Burkina Faso","WHO","Observed",2025,5,1,1981,12922,56277,679,0.02,679,0.02
"Sub-Saharan Africa","Burkina Faso","WHO","Observed",2025,6,2,1894,14816,56277,591,0.01,1270,0.03
"Sub-Saharan Africa","Burkina Faso","WHO","Observed",2025,7,3,3584,18400,56277,1054,0.03,2323,0.06
"Sub-Saharan Africa","Burkina Faso","WHO","Observed",2025,8,4,3123,21523,56277,2768,0.06,5091,0.11
"Sub-Saharan Africa","Burkina Faso","WHO","Observed",2025,9,5,6374,27897,56277,7827,0.1,12919,0.21
"Sub-Saharan Africa","Burkina Faso","WHO","Observed",2025,10,6,11453,39350,56277,20323,0.38,33242,0.6
"Sub-Saharan Africa","Burkina Faso","WHO","Observed",2025,11,7,9011,48361,56277,12802,0.19,46044,0.79
"Sub-Saharan Africa","Burkina Faso","WHO","Observed",2025,12,8,5074,53435,56277,4595,0.08,50638,0.87
"Sub-Saharan Africa","Burkina Faso","WHO","Observed",2026,1,9,4017,4017,56277,2220,0.05,52859,0.92
"Sub-Saharan Africa","Burkina Faso","WHO","Observed",2026,2,10,3367,7384,56277,1602,0.03,54460,0.95
"Sub-Saharan Africa","Burkina Faso","WHO","Observed",2026,3,11,3143,10527,56277,1196,0.03,55657,0.98
"Sub-Saharan Africa","Burkina Faso","WHO","Observed",2026,4,12,3256,13783,56277,1119,0.02,56776,1
"Sub-Saharan Africa","Burkina Faso","WHO","Observed",2026,5,1,2506,16289,170427,679,0.02,679,0.02
"Sub-Saharan Africa","Burkina Faso","WHO","Observed",2026,6,2,2933,19222,170427,591,0.01,1270,0.03
"Sub-Saharan Africa","Burkina Faso","WHO","Observed",2026,7,3,4138,23360,170427,1054,0.03,2323,0.06
"Sub-Saharan Africa","Burkina Faso","Estimates","Unobserved",2026,8,4,3120,26480,170427,2768,0.06,5091,0.11
"Sub-Saharan Africa","Burkina Faso",NA,"Unobserved",2026,9,5,NA,NA,170427,7827,0.1,12919,0.21
"Sub-Saharan Africa","Burkina Faso",NA,"Unobserved",2026,10,6,NA,NA,170427,20323,0.38,33242,0.6
"Sub-Saharan Africa","Burkina Faso",NA,"Unobserved",2026,11,7,NA,NA,170427,12802,0.19,46044,0.79
"Sub-Saharan Africa","Burkina Faso",NA,"Unobserved",2026,12,8,NA,NA,170427,4595,0.08,50638,0.87
"South Asia","Bangladesh","SEARO","Observed",2025,1,11,1161,1161,1535,272,0.01,46835,1
"South Asia","Bangladesh","SEARO","Observed",2025,2,12,374,1535,1535,92,0,46927,1
"South Asia","Bangladesh","SEARO","Observed",2025,3,1,336,1871,102822,58,0,58,0
"South Asia","Bangladesh","SEARO","Observed",2025,4,2,701,2572,102822,100,0,157,0.01
"South Asia","Bangladesh","SEARO","Observed",2025,5,3,1773,4345,102822,241,0.01,398,0.02
"South Asia","Bangladesh","SEARO","Observed",2025,6,4,5951,10296,102822,1108,0.03,1506,0.04
"South Asia","Bangladesh","SEARO","Observed",2025,7,5,10684,20980,102822,4820,0.11,6326,0.16
"South Asia","Bangladesh","SEARO","Observed",2025,8,6,10496,31476,102822,10633,0.23,16959,0.39
"South Asia","Bangladesh","SEARO","Observed",2025,9,7,15866,47342,102822,9672,0.23,26632,0.61
"South Asia","Bangladesh","SEARO","Observed",2025,10,8,22520,69862,102822,9592,0.19,36223,0.8
"South Asia","Bangladesh","SEARO","Observed",2025,11,9,24540,94402,102822,8118,0.14,44341,0.94
"South Asia","Bangladesh","SEARO","Observed",2025,12,10,8465,102867,102822,2222,0.05,46564,0.99
"South Asia","Bangladesh","SEARO","Observed",2026,1,11,1081,1081,102822,272,0.01,46835,1
"South Asia","Bangladesh","SEARO","Observed",2026,2,12,409,1490,102822,92,0,46927,1
"South Asia","Bangladesh","SEARO","Observed",2026,3,1,353,1843,88141,58,0,58,0
"South Asia","Bangladesh","SEARO","Observed",2026,4,2,640,2483,88141,100,0,157,0.01
"South Asia","Bangladesh","SEARO","Observed",2026,5,3,714,3197,88141,241,0.01,398,0.02
"South Asia","Bangladesh","SEARO","Observed",2026,6,4,2907,6104,88141,1108,0.03,1506,0.04
"South Asia","Bangladesh","SEARO","Observed",2026,7,5,9206,15310,88141,4820,0.11,6326,0.16
"South Asia","Bangladesh","Estimates","Unobserved",2026,8,6,23539,38849,88141,10633,0.23,16959,0.39
"South Asia","Bangladesh","SEARO","Unobserved",2026,9,7,NA,NA,88141,9672,0.23,26632,0.61
"South Asia","Bangladesh","SEARO","Unobserved",2026,10,8,NA,NA,88141,9592,0.19,36223,0.8
"South Asia","Bangladesh","SEARO","Unobserved",2026,11,9,NA,NA,88141,8118,0.14,44341,0.94
"South Asia","Bangladesh","SEARO","Unobserved",2026,12,10,NA,NA,88141,2222,0.05,46564,0.99
"Caribbean","Bahamas","Estimates","Unobserved",2025,1,10,0,0,NA,131,0.12,1660,0.87
"Caribbean","Bahamas","Estimates","Unobserved",2025,2,11,0,0,NA,84,0.08,1744,0.95
"Caribbean","Bahamas","Estimates","Unobserved",2025,3,12,0,0,NA,57,0.05,1800,1
"Caribbean","Bahamas","Estimates","Unobserved",2025,4,1,0,0,0,88,0.04,88,0.04
"Caribbean","Bahamas","Estimates","Unobserved",2025,5,2,0,0,0,54,0.03,142,0.07
"Caribbean","Bahamas","Estimates","Unobserved",2025,6,3,0,0,0,78,0.04,220,0.1
"Caribbean","Bahamas","Estimates","Unobserved",2025,7,4,0,0,0,98,0.05,318,0.15
"Caribbean","Bahamas","Estimates","Unobserved",2025,8,5,0,0,0,294,0.13,612,0.28
"Caribbean","Bahamas","Estimates","Unobserved",2025,9,6,0,0,0,464,0.23,1076,0.51
"Caribbean","Bahamas","Estimates","Unobserved",2025,10,7,0,0,0,213,0.11,1289,0.63
"Caribbean","Bahamas","Estimates","Unobserved",2025,11,8,0,0,0,135,0.07,1424,0.7
"Caribbean","Bahamas","Estimates","Unobserved",2025,12,9,0,0,0,104,0.05,1529,0.75
"Caribbean","Bahamas","WHO","Observed",2026,1,10,0,0,0,131,0.12,1660,0.87
"Caribbean","Bahamas","WHO","Observed",2026,2,11,0,0,0,84,0.08,1744,0.95
"Caribbean","Bahamas","WHO","Observed",2026,3,12,0,0,0,57,0.05,1800,1
"Caribbean","Bahamas","PAHO","Observed",2026,4,1,1,1,15,88,0.04,88,0.04
"Caribbean","Bahamas","WHO","Observed",2026,5,2,0,1,15,54,0.03,142,0.07
"Caribbean","Bahamas","Estimates","Unobserved",2026,6,3,0,1,15,78,0.04,220,0.1
"Caribbean","Bahamas","Estimates","Unobserved",2026,7,4,0,1,15,98,0.05,318,0.15
"Caribbean","Bahamas","Estimates","Unobserved",2026,8,5,0,1,15,294,0.13,612,0.28
"Caribbean","Bahamas",NA,"Unobserved",2026,9,6,NA,NA,15,464,0.23,1076,0.51
"Caribbean","Bahamas",NA,"Unobserved",2026,10,7,NA,NA,15,213,0.11,1289,0.63
"Caribbean","Bahamas",NA,"Unobserved",2026,11,8,NA,NA,15,135,0.07,1424,0.7
"Caribbean","Bahamas",NA,"Unobserved",2026,12,9,NA,NA,15,104,0.05,1529,0.75
"Caribbean","Saint Barthelemy","PAHO","Observed",2025,1,10,17,17,20,36,0.15,388,0.82
"Caribbean","Saint Barthelemy","PAHO","Observed",2025,2,11,1,18,20,20,0.09,408,0.91
"Caribbean","Saint Barthelemy","PAHO","Observed",2025,3,12,2,20,20,19,0.09,427,1
"Caribbean","Saint Barthelemy","WHO","Observed",2025,4,1,0,20,0,18,0.04,18,0.04
"Caribbean","Saint Barthelemy","WHO","Observed",2025,5,2,0,20,0,32,0.07,50,0.11
"Caribbean","Saint Barthelemy","WHO","Observed",2025,6,3,0,20,0,29,0.06,80,0.17
"Caribbean","Saint Barthelemy","Estimates","Unobserved",2025,7,4,1,21,0,26,0.04,106,0.22
"Caribbean","Saint Barthelemy","Estimates","Unobserved",2025,8,5,1,22,0,44,0.06,150,0.27
"Caribbean","Saint Barthelemy","WHO","Observed",2025,9,6,0,22,0,40,0.06,190,0.33
"Caribbean","Saint Barthelemy","Estimates","Unobserved",2025,10,7,1,23,0,38,0.06,228,0.4
"Caribbean","Saint Barthelemy","Estimates","Unobserved",2025,11,8,3,26,0,77,0.15,305,0.54
"Caribbean","Saint Barthelemy","WHO","Observed",2025,12,9,0,26,0,48,0.13,353,0.67
"Caribbean","Saint Barthelemy","WHO","Observed",2026,1,10,0,0,0,36,0.15,388,0.82
"Caribbean","Saint Barthelemy","WHO","Observed",2026,2,11,0,0,0,20,0.09,408,0.91
"Caribbean","Saint Barthelemy","WHO","Observed",2026,3,12,0,0,0,19,0.09,427,1
"Caribbean","Saint Barthelemy","WHO","Observed",2026,4,1,0,0,0,18,0.04,18,0.04
"Caribbean","Saint Barthelemy","WHO","Observed",2026,5,2,0,0,0,32,0.07,50,0.11
"Caribbean","Saint Barthelemy","Estimates","Unobserved",2026,6,3,0,0,0,29,0.06,80,0.17
"Caribbean","Saint Barthelemy","Estimates","Unobserved",2026,7,4,0,0,0,26,0.04,106,0.22
"Caribbean","Saint Barthelemy","Estimates","Unobserved",2026,8,5,0,0,0,44,0.06,150,0.27
"Caribbean","Saint Barthelemy",NA,"Unobserved",2026,9,6,NA,NA,0,40,0.06,190,0.33
"Caribbean","Saint Barthelemy",NA,"Unobserved",2026,10,7,NA,NA,0,38,0.06,228,0.4
"Caribbean","Saint Barthelemy",NA,"Unobserved",2026,11,8,NA,NA,0,77,0.15,305,0.54
"Caribbean","Saint Barthelemy",NA,"Unobserved",2026,12,9,NA,NA,0,48,0.13,353,0.67
"North & Central America","Belize","PAHO","Observed",2025,1,11,54,54,111,258,0.08,3404,0.94
"North & Central America","Belize","PAHO","Observed",2025,2,12,57,111,111,181,0.06,3585,1
"North & Central America","Belize","PAHO","Observed",2025,3,1,98,209,2933,200,0.07,200,0.07
"North & Central America","Belize","PAHO","Observed",2025,4,2,57,266,2933,142,0.04,343,0.11
"North & Central America","Belize","PAHO","Observed",2025,5,3,71,337,2933,177,0.05,520,0.16
"North & Central America","Belize","PAHO","Observed",2025,6,4,129,466,2933,234,0.07,754,0.23
"North & Central America","Belize","PAHO","Observed",2025,7,5,298,764,2933,331,0.09,1084,0.33
"North & Central America","Belize","PAHO","Observed",2025,8,6,575,1339,2933,479,0.12,1563,0.45
"North & Central America","Belize","PAHO","Observed",2025,9,7,625,1964,2933,492,0.13,2055,0.58
"North & Central America","Belize","PAHO","Observed",2025,10,8,412,2376,2933,483,0.13,2539,0.7
"North & Central America","Belize","PAHO","Observed",2025,11,9,221,2597,2933,370,0.09,2908,0.8
"North & Central America","Belize","PAHO","Observed",2025,12,10,200,2797,2933,237,0.06,3146,0.86
"North & Central America","Belize","PAHO","Observed",2026,1,11,177,177,2933,258,0.08,3404,0.94
"North & Central America","Belize","PAHO","Observed",2026,2,12,70,247,2933,181,0.06,3585,1
"North & Central America","Belize","PAHO","Observed",2026,3,1,59,306,629,200,0.07,200,0.07
"North & Central America","Belize","PAHO","Observed",2026,4,2,11,317,629,142,0.04,343,0.11
"North & Central America","Belize","Estimates","Unobserved",2026,5,3,158,475,629,177,0.05,520,0.16
"North & Central America","Belize","Estimates","Unobserved",2026,6,4,192,667,629,234,0.07,754,0.23
"North & Central America","Belize","Estimates","Unobserved",2026,7,5,277,944,629,331,0.09,1084,0.33
"North & Central America","Belize","Estimates","Unobserved",2026,8,6,365,1309,629,479,0.12,1563,0.45
"North & Central America","Belize",NA,"Unobserved",2026,9,7,NA,NA,629,492,0.13,2055,0.58
"North & Central America","Belize",NA,"Unobserved",2026,10,8,NA,NA,629,483,0.13,2539,0.7
"North & Central America","Belize",NA,"Unobserved",2026,11,9,NA,NA,629,370,0.09,2908,0.8
"North & Central America","Belize",NA,"Unobserved",2026,12,10,NA,NA,629,237,0.06,3146,0.86
"South America","Bolivia","PAHO","Observed",2025,1,6,4204,4204,29022,7042,0.12,13632,0.32
"South America","Bolivia","PAHO","Observed",2025,2,7,3443,7647,29022,10062,0.16,23693,0.48
"South America","Bolivia","PAHO","Observed",2025,3,8,5848,13495,29022,10052,0.19,33746,0.67
"South America","Bolivia","PAHO","Observed",2025,4,9,4561,18056,29022,7455,0.16,41200,0.84
"South America","Bolivia","PAHO","Observed",2025,5,10,5762,23818,29022,3825,0.1,45026,0.94
"South America","Bolivia","PAHO","Observed",2025,6,11,4063,27881,29022,1388,0.04,46414,0.98
"South America","Bolivia","PAHO","Observed",2025,7,12,1141,29022,29022,686,0.02,47100,1
"South America","Bolivia","PAHO","Observed",2025,8,1,841,29863,76644,546,0.02,546,0.02
"South America","Bolivia","PAHO","Observed",2025,9,2,1167,31030,76644,596,0.02,1143,0.03
"South America","Bolivia","PAHO","Observed",2025,10,3,1060,32090,76644,949,0.03,2091,0.06
"South America","Bolivia","PAHO","Observed",2025,11,4,1833,33923,76644,1630,0.05,3721,0.11
"South America","Bolivia","PAHO","Observed",2025,12,5,4105,38028,76644,2869,0.08,6589,0.2
"South America","Bolivia","PAHO","Observed",2026,1,6,11646,11646,76644,7042,0.12,13632,0.32
"South America","Bolivia","PAHO","Observed",2026,2,7,21822,33468,76644,10062,0.16,23693,0.48
"South America","Bolivia","PAHO","Observed",2026,3,8,18882,52350,76644,10052,0.19,33746,0.67
"South America","Bolivia","PAHO","Observed",2026,4,9,8874,61224,76644,7455,0.16,41200,0.84
"South America","Bolivia","PAHO","Observed",2026,5,10,2741,63965,76644,3825,0.1,45026,0.94
"South America","Bolivia","PAHO","Observed",2026,6,11,2245,66210,76644,1388,0.04,46414,0.98
"South America","Bolivia","PAHO","Observed",2026,7,12,1428,67638,76644,686,0.02,47100,1
"South America","Bolivia","PAHO","Observed",2026,8,1,472,68110,27994,546,0.02,546,0.02
"South America","Bolivia",NA,"Unobserved",2026,9,2,NA,NA,27994,596,0.02,1143,0.03
"South America","Bolivia",NA,"Unobserved",2026,10,3,NA,NA,27994,949,0.03,2091,0.06
"South America","Bolivia",NA,"Unobserved",2026,11,4,NA,NA,27994,1630,0.05,3721,0.11
"South America","Bolivia",NA,"Unobserved",2026,12,5,NA,NA,27994,2869,0.08,6589,0.2
"South America","Brazil","PAHO","Observed",2025,1,4,462699,462699,3497291,193658,0.09,314251,0.16
"South America","Brazil","PAHO","Observed",2025,2,5,569042,1031741,3497291,311282,0.13,625533,0.3
"South America","Brazil","PAHO","Observed",2025,3,6,870968,1902709,3497291,485656,0.2,1111189,0.49
"South America","Brazil","PAHO","Observed",2025,4,7,614836,2517545,3497291,458810,0.21,1569999,0.71
"South America","Brazil","PAHO","Observed",2025,5,8,466447,2983992,3497291,311112,0.15,1881111,0.85
"South America","Brazil","PAHO","Observed",2025,6,9,209348,3193340,3497291,127718,0.06,2008829,0.92
"South America","Brazil","PAHO","Observed",2025,7,10,89048,3282388,3497291,60128,0.03,2068957,0.95
"South America","Brazil","PAHO","Observed",2025,8,11,84833,3367221,3497291,40514,0.02,2109471,0.98
"South America","Brazil","PAHO","Observed",2025,9,12,130070,3497291,3497291,39178,0.02,2148649,1
"South America","Brazil","PAHO","Observed",2025,10,1,108102,3605393,1698002,34391,0.02,34391,0.02
"South America","Brazil","PAHO","Observed",2025,11,2,111439,3716832,1698002,42457,0.02,76848,0.05
"South America","Brazil","PAHO","Observed",2025,12,3,125855,3842687,1698002,43746,0.03,120593,0.07
