country,iso3,date,Year,Month,cases
Colombia,NA,2024-07-01T00:00:00Z,2024,7,35951
Colombia,NA,2024-08-01T00:00:00Z,2024,8,20510
Colombia,NA,2024-09-01T00:00:00Z,2024,9,20870
Colombia,NA,2024-10-01T00:00:00Z,2024,10,14547
Colombia,NA,2024-11-01T00:00:00Z,2024,11,14580
Colombia,NA,2024-12-01T00:00:00Z,2024,12,12840
Colombia,NA,2025-01-01T00:00:00Z,2025,1,19794
Colombia,NA,2025-02-01T00:00:00Z,2025,2,14705
Colombia,NA,2025-03-01T00:00:00Z,2025,3,16984
Colombia,NA,2025-04-01T00:00:00Z,2025,4,13301
Colombia,NA,2025-05-01T00:00:00Z,2025,5,11614
Colombia,NA,2025-06-01T00:00:00Z,2025,6,5684
Costa Rica,NA,2024-01-01T00:00:00Z,2024,1,3492
Costa Rica,NA,2024-02-01T00:00:00Z,2024,2,1634
Costa Rica,NA,2024-03-01T00:00:00Z,2024,3,961
Costa Rica,NA,2024-04-01T00:00:00Z,2024,4,1116
Costa Rica,NA,2024-05-01T00:00:00Z,2024,5,1422
Costa Rica,NA,2024-06-01T00:00:00Z,2024,6,2813
Costa Rica,NA,2024-07-01T00:00:00Z,2024,7,4683
Costa Rica,NA,2024-08-01T00:00:00Z,2024,8,4533
Costa Rica,NA,2024-09-01T00:00:00Z,2024,9,5176
Costa Rica,NA,2024-10-01T00:00:00Z,2024,10,2741
Costa Rica,NA,2024-11-01T00:00:00Z,2024,11,1714
Costa Rica,NA,2024-12-01T00:00:00Z,2024,12,872
Costa Rica,NA,2025-01-01T00:00:00Z,2025,1,631
Costa Rica,NA,2025-02-01T00:00:00Z,2025,2,402
Costa Rica,NA,2025-03-01T00:00:00Z,2025,3,571
Costa Rica,NA,2025-04-01T00:00:00Z,2025,4,544
Costa Rica,NA,2025-05-01T00:00:00Z,2025,5,1289
Cuba,NA,2024-07-01T00:00:00Z,2024,7,NA
Curaçao,NA,2024-01-01T00:00:00Z,2024,1,40
Curaçao,NA,2024-02-01T00:00:00Z,2024,2,94
Curaçao,NA,2024-03-01T00:00:00Z,2024,3,128
Dominican Republic,NA,2024-01-01T00:00:00Z,2024,1,3821
Dominican Republic,NA,2024-02-01T00:00:00Z,2024,2,1231
Dominican Republic,NA,2024-03-01T00:00:00Z,2024,3,1046
Dominican Republic,NA,2024-04-01T00:00:00Z,2024,4,918
Dominican Republic,NA,2024-05-01T00:00:00Z,2024,5,558
Dominican Republic,NA,2024-06-01T00:00:00Z,2024,6,738
Dominican Republic,NA,2024-07-01T00:00:00Z,2024,7,547
Dominican Republic,NA,2024-08-01T00:00:00Z,2024,8,380
Dominican Republic,NA,2024-09-01T00:00:00Z,2024,9,386
Dominican Republic,NA,2024-10-01T00:00:00Z,2024,10,269
Dominican Republic,NA,2024-11-01T00:00:00Z,2024,11,207
Dominican Republic,NA,2024-12-01T00:00:00Z,2024,12,199
Dominican Republic,NA,2025-01-01T00:00:00Z,2025,1,201
Dominican Republic,NA,2025-02-01T00:00:00Z,2025,2,166
Dominican Republic,NA,2025-03-01T00:00:00Z,2025,3,239
Dominican Republic,NA,2025-04-01T00:00:00Z,2025,4,129
Dominican Republic,NA,2025-05-01T00:00:00Z,2025,5,280
Ecuador,NA,2024-01-01T00:00:00Z,2024,1,3833
Ecuador,NA,2024-02-01T00:00:00Z,2024,2,5609
Ecuador,NA,2024-03-01T00:00:00Z,2024,3,7601
Ecuador,NA,2024-04-01T00:00:00Z,2024,4,10020
Ecuador,NA,2024-05-01T00:00:00Z,2024,5,8126
Ecuador,NA,2024-06-01T00:00:00Z,2024,6,6188
Ecuador,NA,2024-07-01T00:00:00Z,2024,7,5932
Ecuador,NA,2024-08-01T00:00:00Z,2024,8,3099
Ecuador,NA,2024-09-01T00:00:00Z,2024,9,2938
Ecuador,NA,2024-10-01T00:00:00Z,2024,10,2347
Ecuador,NA,2024-11-01T00:00:00Z,2024,11,2605
Ecuador,NA,2024-12-01T00:00:00Z,2024,12,2934
Ecuador,NA,2025-01-01T00:00:00Z,2025,1,4492
Ecuador,NA,2025-02-01T00:00:00Z,2025,2,4091
Ecuador,NA,2025-03-01T00:00:00Z,2025,3,5731
Ecuador,NA,2025-04-01T00:00:00Z,2025,4,5060
Ecuador,NA,2025-05-01T00:00:00Z,2025,5,6060
Ecuador,NA,2025-06-01T00:00:00Z,2025,6,1672
El Salvador,NA,2024-01-01T00:00:00Z,2024,1,491
El Salvador,NA,2024-02-01T00:00:00Z,2024,2,481
El Salvador,NA,2024-03-01T00:00:00Z,2024,3,479
El Salvador,NA,2024-04-01T00:00:00Z,2024,4,605
El Salvador,NA,2024-05-01T00:00:00Z,2024,5,622
El Salvador,NA,2024-06-01T00:00:00Z,2024,6,785
El Salvador,NA,2024-07-01T00:00:00Z,2024,7,1268
El Salvador,NA,2024-08-01T00:00:00Z,2024,8,1059
El Salvador,NA,2024-09-01T00:00:00Z,2024,9,1089
El Salvador,NA,2024-10-01T00:00:00Z,2024,10,708
El Salvador,NA,2024-11-01T00:00:00Z,2024,11,562
El Salvador,NA,2024-12-01T00:00:00Z,2024,12,403
El Salvador,NA,2025-01-01T00:00:00Z,2025,1,411
El Salvador,NA,2025-02-01T00:00:00Z,2025,2,358
El Salvador,NA,2025-03-01T00:00:00Z,2025,3,492
El Salvador,NA,2025-04-01T00:00:00Z,2025,4,379
El Salvador,NA,2025-05-01T00:00:00Z,2025,5,436
French Guiana,NA,2024-01-01T00:00:00Z,2024,1,3672
French Guiana,NA,2024-02-01T00:00:00Z,2024,2,3993
French Guiana,NA,2024-03-01T00:00:00Z,2024,3,3867
French Guiana,NA,2024-04-01T00:00:00Z,2024,4,1794
French Guiana,NA,2024-05-01T00:00:00Z,2024,5,1334
French Guiana,NA,2024-06-01T00:00:00Z,2024,6,817
French Guiana,NA,2024-07-01T00:00:00Z,2024,7,587
French Guiana,NA,2024-08-01T00:00:00Z,2024,8,77
French Guiana,NA,2024-09-01T00:00:00Z,2024,9,NA
French Guiana,NA,2024-10-01T00:00:00Z,2024,10,NA
French Guiana,NA,2024-11-01T00:00:00Z,2024,11,NA
French Guiana,NA,2024-12-01T00:00:00Z,2024,12,NA
French Guiana,NA,2025-01-01T00:00:00Z,2025,1,NA
French Guiana,NA,2025-02-01T00:00:00Z,2025,2,NA
French Guiana,NA,2025-03-01T00:00:00Z,2025,3,NA
French Guiana,NA,2025-04-01T00:00:00Z,2025,4,NA
French Guiana,NA,2025-05-01T00:00:00Z,2025,5,33
French Guiana,NA,2025-06-01T00:00:00Z,2025,6,NA
Grenada,NA,2024-01-01T00:00:00Z,2024,1,47
Grenada,NA,2024-02-01T00:00:00Z,2024,2,37
Grenada,NA,2024-03-01T00:00:00Z,2024,3,24
Grenada,NA,2024-04-01T00:00:00Z,2024,4,30
Grenada,NA,2024-05-01T00:00:00Z,2024,5,26
Grenada,NA,2024-06-01T00:00:00Z,2024,6,53
Grenada,NA,2024-07-01T00:00:00Z,2024,7,64
Grenada,NA,2024-08-01T00:00:00Z,2024,8,165
Grenada,NA,2024-09-01T00:00:00Z,2024,9,244
Grenada,NA,2024-10-01T00:00:00Z,2024,10,65
Grenada,NA,2024-11-01T00:00:00Z,2024,11,29
Grenada,NA,2024-12-01T00:00:00Z,2024,12,14
Grenada,NA,2025-01-01T00:00:00Z,2025,1,16
Grenada,NA,2025-02-01T00:00:00Z,2025,2,19
Grenada,NA,2025-03-01T00:00:00Z,2025,3,8
Guadeloupe,NA,2024-01-01T00:00:00Z,2024,1,1445
Guadeloupe,NA,2024-02-01T00:00:00Z,2024,2,715
Guadeloupe,NA,2024-03-01T00:00:00Z,2024,3,800
Guadeloupe,NA,2024-04-01T00:00:00Z,2024,4,435
Guadeloupe,NA,2024-05-01T00:00:00Z,2024,5,290
Guadeloupe,NA,2024-06-01T00:00:00Z,2024,6,365
Guadeloupe,NA,2024-07-01T00:00:00Z,2024,7,185
Guadeloupe,NA,2024-08-01T00:00:00Z,2024,8,NA
Guadeloupe,NA,2024-09-01T00:00:00Z,2024,9,1380
Guadeloupe,NA,2024-10-01T00:00:00Z,2024,10,2040
Guadeloupe,NA,2024-11-01T00:00:00Z,2024,11,2410
Guadeloupe,NA,2024-12-01T00:00:00Z,2024,12,960
Guadeloupe,NA,2025-01-01T00:00:00Z,2025,1,2220
Guadeloupe,NA,2025-02-01T00:00:00Z,2025,2,970
Guadeloupe,NA,2025-03-01T00:00:00Z,2025,3,970
Guadeloupe,NA,2025-04-01T00:00:00Z,2025,4,NA
Guadeloupe,NA,2025-05-01T00:00:00Z,2025,5,110
Guatemala,NA,2024-01-01T00:00:00Z,2024,1,7911
Guatemala,NA,2024-02-01T00:00:00Z,2024,2,4495
Guatemala,NA,2024-03-01T00:00:00Z,2024,3,4188
Guatemala,NA,2024-04-01T00:00:00Z,2024,4,7774
Guatemala,NA,2024-05-01T00:00:00Z,2024,5,11795
Guatemala,NA,2024-06-01T00:00:00Z,2024,6,20448
Guatemala,NA,2024-07-01T00:00:00Z,2024,7,31234
Guatemala,NA,2024-08-01T00:00:00Z,2024,8,27529
Guatemala,NA,2024-09-01T00:00:00Z,2024,9,35365
Guatemala,NA,2024-10-01T00:00:00Z,2024,10,21376
Guatemala,NA,2024-11-01T00:00:00Z,2024,11,12086
Guatemala,NA,2024-12-01T00:00:00Z,2024,12,5377
Guatemala,NA,2025-01-01T00:00:00Z,2025,1,4371
Guatemala,NA,2025-02-01T00:00:00Z,2025,2,3527
Guatemala,NA,2025-03-01T00:00:00Z,2025,3,5515
Guatemala,NA,2025-04-01T00:00:00Z,2025,4,4212
Guatemala,NA,2025-05-01T00:00:00Z,2025,5,6911
Guatemala,NA,2025-06-01T00:00:00Z,2025,6,2375
Guyana,NA,2024-01-01T00:00:00Z,2024,1,3049
Guyana,NA,2024-02-01T00:00:00Z,2024,2,4222
Guyana,NA,2024-03-01T00:00:00Z,2024,3,3457
Guyana,NA,2024-04-01T00:00:00Z,2024,4,4669
Guyana,NA,2024-05-01T00:00:00Z,2024,5,4673
Guyana,NA,2024-06-01T00:00:00Z,2024,6,6478
Guyana,NA,2024-07-01T00:00:00Z,2024,7,7583
Guyana,NA,2024-08-01T00:00:00Z,2024,8,2105
Guyana,NA,2024-09-01T00:00:00Z,2024,9,2582
Guyana,NA,2024-10-01T00:00:00Z,2024,10,2449
Guyana,NA,2024-11-01T00:00:00Z,2024,11,2793
Guyana,NA,2024-12-01T00:00:00Z,2024,12,2246
Guyana,NA,2025-01-01T00:00:00Z,2025,1,5040
Guyana,NA,2025-02-01T00:00:00Z,2025,2,4722
Guyana,NA,2025-03-01T00:00:00Z,2025,3,11228
Guyana,NA,2025-04-01T00:00:00Z,2025,4,8286
Guyana,NA,2025-05-01T00:00:00Z,2025,5,5209
Honduras,NA,2024-01-01T00:00:00Z,2024,1,3602
Honduras,NA,2024-02-01T00:00:00Z,2024,2,3331
Honduras,NA,2024-03-01T00:00:00Z,2024,3,3630
Honduras,NA,2024-04-01T00:00:00Z,2024,4,7656
Honduras,NA,2024-05-01T00:00:00Z,2024,5,10940
Honduras,NA,2024-06-01T00:00:00Z,2024,6,29091
Honduras,NA,2024-07-01T00:00:00Z,2024,7,41723
Honduras,NA,2024-08-01T00:00:00Z,2024,8,37091
Honduras,NA,2024-09-01T00:00:00Z,2024,9,25028
Honduras,NA,2024-10-01T00:00:00Z,2024,10,9410
Honduras,NA,2024-11-01T00:00:00Z,2024,11,4171
Honduras,NA,2024-12-01T00:00:00Z,2024,12,1536
Honduras,NA,2025-01-01T00:00:00Z,2025,1,1434
Honduras,NA,2025-02-01T00:00:00Z,2025,2,1274
Honduras,NA,2025-03-01T00:00:00Z,2025,3,2134
Honduras,NA,2025-04-01T00:00:00Z,2025,4,1545
Honduras,NA,2025-05-01T00:00:00Z,2025,5,2418
Jamaica,NA,2024-01-01T00:00:00Z,2024,1,457
Jamaica,NA,2024-02-01T00:00:00Z,2024,2,244
Jamaica,NA,2024-03-01T00:00:00Z,2024,3,309
Jamaica,NA,2024-04-01T00:00:00Z,2024,4,224
Jamaica,NA,2024-05-01T00:00:00Z,2024,5,108
Jamaica,NA,2024-06-01T00:00:00Z,2024,6,57
Jamaica,NA,2024-07-01T00:00:00Z,2024,7,98
Jamaica,NA,2024-08-01T00:00:00Z,2024,8,136
Jamaica,NA,2024-09-01T00:00:00Z,2024,9,122
Jamaica,NA,2024-10-01T00:00:00Z,2024,10,86
Jamaica,NA,2024-11-01T00:00:00Z,2024,11,73
Jamaica,NA,2024-12-01T00:00:00Z,2024,12,120
Jamaica,NA,2025-01-01T00:00:00Z,2025,1,46
Jamaica,NA,2025-02-01T00:00:00Z,2025,2,38
Jamaica,NA,2025-03-01T00:00:00Z,2025,3,37
Jamaica,NA,2025-04-01T00:00:00Z,2025,4,44
Jamaica,NA,2025-05-01T00:00:00Z,2025,5,44
