country,iso3,date,Year,Month,cases,source
Armenia,ARM,2024-05-01T00:00:00Z,2024,5,0,WHO
Armenia,ARM,2024-06-01T00:00:00Z,2024,6,0,WHO
Armenia,ARM,2024-07-01T00:00:00Z,2024,7,0,WHO
Armenia,ARM,2024-08-01T00:00:00Z,2024,8,0,WHO
Armenia,ARM,2024-09-01T00:00:00Z,2024,9,0,WHO
Armenia,ARM,2024-10-01T00:00:00Z,2024,10,0,WHO
Armenia,ARM,2024-11-01T00:00:00Z,2024,11,0,WHO
Armenia,ARM,2024-12-01T00:00:00Z,2024,12,0,WHO
Armenia,ARM,2025-01-01T00:00:00Z,2025,1,0,WHO
Armenia,ARM,2025-02-01T00:00:00Z,2025,2,0,WHO
Armenia,ARM,2025-03-01T00:00:00Z,2025,3,0,WHO
Armenia,ARM,2025-04-01T00:00:00Z,2025,4,0,WHO
Armenia,ARM,2025-05-01T00:00:00Z,2025,5,0,WHO
Armenia,ARM,2025-06-01T00:00:00Z,2025,6,0,WHO
Armenia,ARM,2025-07-01T00:00:00Z,2025,7,0,WHO
Aruba,ABW,2024-01-01T00:00:00Z,2024,1,3,PAHO
Aruba,ABW,2024-02-01T00:00:00Z,2024,2,6,PAHO
Aruba,ABW,2024-03-01T00:00:00Z,2024,3,7,PAHO
Aruba,ABW,2024-04-01T00:00:00Z,2024,4,NA,PAHO
Aruba,ABW,2024-05-01T00:00:00Z,2024,5,41,WHO
Aruba,ABW,2024-06-01T00:00:00Z,2024,6,NA,PAHO
Aruba,ABW,2024-07-01T00:00:00Z,2024,7,24,WHO
Aruba,ABW,2024-08-01T00:00:00Z,2024,8,0,WHO
Aruba,ABW,2024-09-01T00:00:00Z,2024,9,3,PAHO
Aruba,ABW,2024-10-01T00:00:00Z,2024,10,4,PAHO
Aruba,ABW,2024-11-01T00:00:00Z,2024,11,NA,PAHO
Aruba,ABW,2024-12-01T00:00:00Z,2024,12,NA,PAHO
Aruba,ABW,2025-01-01T00:00:00Z,2025,1,0,WHO
Aruba,ABW,2025-02-01T00:00:00Z,2025,2,2,PAHO
Aruba,ABW,2025-03-01T00:00:00Z,2025,3,0,WHO
Aruba,ABW,2025-04-01T00:00:00Z,2025,4,2,PAHO
Aruba,ABW,2025-05-01T00:00:00Z,2025,5,2,PAHO
Aruba,ABW,2025-06-01T00:00:00Z,2025,6,1,WHO
Aruba,ABW,2025-07-01T00:00:00Z,2025,7,NA,WHO
Australia,AUS,2024-01-01T00:00:00Z,2024,1,133,WHO
Australia,AUS,2024-02-01T00:00:00Z,2024,2,103,WHO
Australia,AUS,2024-03-01T00:00:00Z,2024,3,190,WHO
Australia,AUS,2024-04-01T00:00:00Z,2024,4,346,WHO
Australia,AUS,2024-05-01T00:00:00Z,2024,5,347,WHO
Australia,AUS,2024-06-01T00:00:00Z,2024,6,252,WHO
Australia,AUS,2024-07-01T00:00:00Z,2024,7,211,WHO
Australia,AUS,2024-08-01T00:00:00Z,2024,8,148,WHO
Australia,AUS,2024-09-01T00:00:00Z,2024,9,134,WHO
Australia,AUS,2024-10-01T00:00:00Z,2024,10,172,WHO
Australia,AUS,2024-11-01T00:00:00Z,2024,11,179,WHO
Australia,AUS,2024-12-01T00:00:00Z,2024,12,161,WHO
Australia,AUS,2025-01-01T00:00:00Z,2025,1,283,WHO
Australia,AUS,2025-02-01T00:00:00Z,2025,2,218,WHO
Australia,AUS,2025-03-01T00:00:00Z,2025,3,220,WHO
Australia,AUS,2025-04-01T00:00:00Z,2025,4,194,WHO
Australia,AUS,2025-05-01T00:00:00Z,2025,5,135,WHO
Australia,AUS,2025-06-01T00:00:00Z,2025,6,120,WHO
Australia,AUS,2025-07-01T00:00:00Z,2025,7,117,WHO
Austria,AUT,2024-01-01T00:00:00Z,2024,1,0,WHO
Austria,AUT,2024-02-01T00:00:00Z,2024,2,0,WHO
Austria,AUT,2024-03-01T00:00:00Z,2024,3,0,WHO
Austria,AUT,2024-04-01T00:00:00Z,2024,4,0,WHO
Austria,AUT,2024-05-01T00:00:00Z,2024,5,0,WHO
Austria,AUT,2024-06-01T00:00:00Z,2024,6,0,WHO
Austria,AUT,2024-07-01T00:00:00Z,2024,7,0,WHO
Austria,AUT,2024-08-01T00:00:00Z,2024,8,0,WHO
Austria,AUT,2024-09-01T00:00:00Z,2024,9,0,WHO
Austria,AUT,2024-10-01T00:00:00Z,2024,10,0,WHO
Austria,AUT,2024-11-01T00:00:00Z,2024,11,0,WHO
Austria,AUT,2024-12-01T00:00:00Z,2024,12,0,WHO
Austria,AUT,2025-01-01T00:00:00Z,2025,1,0,WHO
Austria,AUT,2025-02-01T00:00:00Z,2025,2,0,WHO
