"iso3","Month","season_nMonth","nb_size","nb_mean","Ave_season_monthly_cases","Ave_season_monthly_cum_cases","Ave_cum_monthly_proportion","Ave_monthly_proportion","Year","date","cases","source","Data_status","Predicted_total_seasonal_cases","cum_todate_cases_calendar","cum_todate_cases_season","percentile_most_recent","Country","Region.x","Region.y","country"
"ARG",7,12,0.312804666936408,700.999999999999,701,32234.8,1,0.0147397530290866,2025,"2025-07-01",16,"PAHO","Observed",16,17631,NA,24.0537064572408,"Argentina","South America","South America","Argentina"
"ARG",7,12,0.312804666936408,700.999999999999,701,32234.8,1,0.0147397530290866,2024,"2024-07-01",40,"PAHO","Observed",40,581279,NA,31.7168560451403,"Argentina","South America","South America","Argentina"
"ARG",10,3,0.209440301685689,802.200000000001,802.2,827.8,0.162679916442372,0.149620033584388,2025,"2025-10-01",1061,"PAHO","Observed",6522,22882,5365,97.9619015828352,"Argentina","South America","South America","Argentina"
"ARG",9,2,1.05070348528064,14,14,25.6,0.013059882857984,0.00737232309793614,2024,"2024-09-01",31,"PAHO","Observed",2374,581341,4251,100,"Argentina","South America","South America","Argentina"
"ARG",2,7,0.592086161600907,746.6,746.6,1902.8,0.311122772777976,0.0638876741196518,2024,"2024-02-01",80049,"PAHO","Observed",257291,113047,NA,100,"Argentina","South America","South America","Argentina"
"ARG",4,9,0.287133390471294,13173.6,13173.6,24683.8,0.790768858102652,0.261601305400257,2024,"2024-04-01",219578,"PAHO","Observed",277677,562360,NA,99.9811490454597,"Argentina","South America","South America","Argentina"
"ARG",12,5,1.14344756955895,89.2000000000001,89.2,956.6,0.222793261368279,0.0433157843559905,2025,"2025-12-01",NA,NA,"Unobserved",NA,NA,NA,0.676241710475388,"Argentina","South America","South America","Argentina"
"ARG",10,3,0.209440301685689,802.200000000001,802.2,827.8,0.162679916442372,0.149620033584388,2024,"2024-10-01",52,"PAHO","Observed",320,581393,4304,64.0337986893715,"Argentina","South America","South America","Argentina"
"ARG",2,7,0.592086161600907,746.6,746.6,1902.8,0.311122772777976,0.0638876741196518,2025,"2025-02-01",1340,"PAHO","Observed",4307,1615,NA,98.7958374549876,"Argentina","South America","South America","Argentina"
"ATG",12,9,0.414689708084524,70.4,70.4,260.6,0.548951805017923,0.113652509790447,2024,"2024-12-01",NA,NA,"Unobserved",NA,NA,NA,11.864423882302,"Antigua And Barbuda","Caribbean","Caribbean","Antigua And Barbuda"
"ATG",9,6,0.553581134563825,32.2,32.2,103.2,0.260110449444497,0.0751363203760724,2025,"2025-09-01",4,"PAHO","Observed",15,14,NA,49.5553101249001,"Antigua And Barbuda","Caribbean","Caribbean","Antigua And Barbuda"
"ATG",1,10,0.440614154079687,82.3999999999999,82.4,343,0.762383273195332,0.213431468177409,2024,"2024-01-01",41,"PAHO","Observed",54,41,NA,60.2287923365474,"Antigua And Barbuda","Caribbean","Caribbean","Antigua And Barbuda"
"ATG",11,8,0.48396280770829,48.2,48.2,190.2,0.435299295227476,0.0950402446794425,2025,"2025-11-01",828,"Estimates","Unobserved",1902,1541,NA,99.9999999353456,"Antigua And Barbuda","Caribbean","Caribbean","Antigua And Barbuda"
"ATG",5,2,0.550673261705068,12,12,18.6,0.0560603978261838,0.035961321445698,2025,"2025-05-01",1,"PAHO","Observed",18,4,84,78.2280654867016,"Antigua And Barbuda","Caribbean","Caribbean","Antigua And Barbuda"
"ATG",3,12,307451.10991617,24.8,24.8,407.8,1,0.0974622157505291,2024,"2024-03-01",0,"WHO","Observed",0,NA,NA,1.6979747090378e-09,"Antigua And Barbuda","Caribbean","Caribbean","Antigua And Barbuda"
"ATG",2,11,0.882873672819787,40,40,383,0.902537784249471,0.140154511054139,2024,"2024-02-01",NA,NA,"Unobserved",NA,NA,NA,3.38413578797999,"Antigua And Barbuda","Caribbean","Caribbean","Antigua And Barbuda"
"ATG",8,5,0.574605143273726,27.4,27.4,71,0.184974129068425,0.0623388504526386,2024,"2024-08-01",0,"WHO","Observed",0,NA,NA,10.7254239233228,"Antigua And Barbuda","Caribbean","Caribbean","Antigua And Barbuda"
"ATG",6,3,0.534696461756915,10.8,10.8,29.4,0.0847596365613685,0.0286992387351848,2024,"2024-06-01",NA,NA,"Unobserved",NA,NA,NA,19.5357775335522,"Antigua And Barbuda","Caribbean","Caribbean","Antigua And Barbuda"
"ATG",3,12,307451.10991617,24.8,24.8,407.8,1,0.0974622157505291,2025,"2025-03-01",2,"PAHO","Observed",2,2,NA,5.65883003436129e-07,"Antigua And Barbuda","Caribbean","Caribbean","Antigua And Barbuda"
"ATG",7,4,0.485741212987846,14.2,14.2,43.6,0.122635278615786,0.0378756420544178,2025,"2025-07-01",2,"PAHO","Observed",16,8,NA,72.0159455709386,"Antigua And Barbuda","Caribbean","Caribbean","Antigua And Barbuda"
"ATG",1,10,0.440614154079687,82.3999999999999,82.4,343,0.762383273195332,0.213431468177409,2025,"2025-01-01",0,"WHO","Observed",0,0,NA,9.95318231243654,"Antigua And Barbuda","Caribbean","Caribbean","Antigua And Barbuda"
"ATG",7,4,0.485741212987846,14.2,14.2,43.6,0.122635278615786,0.0378756420544178,2024,"2024-07-01",28,"WHO","Observed",228,NA,NA,99.9917471741152,"Antigua And Barbuda","Caribbean","Caribbean","Antigua And Barbuda"
"ATG",2,11,0.882873672819787,40,40,383,0.902537784249471,0.140154511054139,2025,"2025-02-01",0,"WHO","Observed",0,0,NA,3.38413578797999,"Antigua And Barbuda","Caribbean","Caribbean","Antigua And Barbuda"
"ATG",10,7,0.512279289376841,38.8,38.8,142,0.340259050548034,0.0801486011035363,2025,"2025-10-01",699,"Estimates","Unobserved",2054,713,NA,99.9999999999775,"Antigua And Barbuda","Caribbean","Caribbean","Antigua And Barbuda"
"ATG",11,8,0.48396280770829,48.2,48.2,190.2,0.435299295227476,0.0950402446794425,2024,"2024-11-01",6,"WHO","Observed",14,NA,NA,42.6240726560267,"Antigua And Barbuda","Caribbean","Caribbean","Antigua And Barbuda"
"ATG",9,6,0.553581134563825,32.2,32.2,103.2,0.260110449444497,0.0751363203760724,2024,"2024-09-01",12,"PAHO","Observed",46,NA,NA,76.7392259055214,"Antigua And Barbuda","Caribbean","Caribbean","Antigua And Barbuda"
"ATG",10,7,0.512279289376841,38.8,38.8,142,0.340259050548034,0.0801486011035363,2024,"2024-10-01",NA,NA,"Unobserved",NA,NA,NA,10.8228730267249,"Antigua And Barbuda","Caribbean","Caribbean","Antigua And Barbuda"
"ATG",6,3,0.534696461756915,10.8,10.8,29.4,0.0847596365613685,0.0286992387351848,2025,"2025-06-01",2,"PAHO","Observed",24,6,NA,86.7044840735025,"Antigua And Barbuda","Caribbean","Caribbean","Antigua And Barbuda"
"ATG",8,5,0.574605143273726,27.4,27.4,71,0.184974129068425,0.0623388504526386,2025,"2025-08-01",2,"PAHO","Observed",11,10,NA,45.8395851370101,"Antigua And Barbuda","Caribbean","Caribbean","Antigua And Barbuda"
"ATG",4,1,0.627047479840497,6.6,6.6,6.6,0.0200990763804858,0.0200990763804858,2025,"2025-04-01",1,"PAHO","Observed",50,3,75,99.6326066569607,"Antigua And Barbuda","Caribbean","Caribbean","Antigua And Barbuda"
"ATG",5,2,0.550673261705068,12,12,18.6,0.0560603978261838,0.035961321445698,2024,"2024-05-01",8,"PAHO","Observed",143,NA,83,99.9601246582788,"Antigua And Barbuda","Caribbean","Caribbean","Antigua And Barbuda"
"ATG",12,9,0.414689708084524,70.4,70.4,260.6,0.548951805017923,0.113652509790447,2025,"2025-12-01",NA,NA,"Unobserved",NA,NA,NA,11.864423882302,"Antigua And Barbuda","Caribbean","Caribbean","Antigua And Barbuda"
"ATG",4,1,0.627047479840497,6.6,6.6,6.6,0.0200990763804858,0.0200990763804858,2024,"2024-04-01",74,"PAHO","Observed",3682,NA,74,100,"Antigua And Barbuda","Caribbean","Caribbean","Antigua And Barbuda"
"AUS",6,10,1.51774477198356,92.5,92.5,1103.5,0.838874235136555,0.0737462923342449,2025,"2025-06-01",120,"WHO","Observed",143,1174,NA,80.0427103270247,"Australia","Pacific Islands","Pacific Islands","Australia"
"AUS",12,4,1026224.86888136,92.9166666666667,92.9166666666667,338.833333333333,0.280895398863256,0.0727084464965944,2025,"2025-12-01",NA,NA,"Unobserved",NA,NA,NA,4.45277871807715e-39,"Australia","Pacific Islands","Pacific Islands","Australia"
"AUS",10,2,1530678.09731509,93.4999999999999,93.5,160.333333333333,0.134732508736457,0.0797334818613263,2025,"2025-10-01",131,"WHO","Observed",972,1676,522,100,"Australia","Pacific Islands","Pacific Islands","Australia"
"AUS",6,10,1.51774477198356,92.5,92.5,1103.5,0.838874235136555,0.0737462923342449,2024,"2024-06-01",252,"WHO","Observed",300,1373,NA,97.9076949801608,"Australia","Pacific Islands","Pacific Islands","Australia"
"AUS",10,2,1530678.09731509,93.4999999999999,93.5,160.333333333333,0.134732508736457,0.0797334818613263,2024,"2024-10-01",172,"WHO","Observed",1277,2040,391,100,"Australia","Pacific Islands","Pacific Islands","Australia"
"AUS",8,12,1.43202396937069,78.8333333333332,78.8333333333333,1287.66666666667,1,0.0710628782452522,2024,"2024-08-01",148,"WHO","Observed",148,1734,NA,86.5895418131685,"Australia","Pacific Islands","Pacific Islands","Australia"
"AUS",5,9,1.30412930872372,112.166666666667,112.166666666667,1011,0.76512794280231,0.0832344951126084,2024,"2024-05-01",347,"WHO","Observed",454,1121,NA,98.9917983763987,"Australia","Pacific Islands","Pacific Islands","Australia"
"AUS",12,4,1026224.86888136,92.9166666666667,92.9166666666667,338.833333333333,0.280895398863256,0.0727084464965944,2024,"2024-12-01",162,"WHO","Observed",577,2381,1503,100,"Australia","Pacific Islands","Pacific Islands","Australia"
"AUS",2,6,1.70095105063956,138.916666666666,138.916666666667,648.25,0.503789205216558,0.0985446791298301,2024,"2024-02-01",103,"WHO","Observed",204,235,NA,78.4092337980823,"Australia","Pacific Islands","Pacific Islands","Australia"
"AUS",9,1,774354.996955727,66.8333333333333,66.8333333333333,66.8333333333333,0.0549990268751304,0.0549990268751304,2025,"2025-09-01",85,"WHO","Observed",1545,1545,219,100,"Australia","Pacific Islands","Pacific Islands","Australia"
"AUS",5,9,1.30412930872372,112.166666666667,112.166666666667,1011,0.76512794280231,0.0832344951126084,2025,"2025-05-01",135,"WHO","Observed",176,1054,NA,79.9979410580751,"Australia","Pacific Islands","Pacific Islands","Australia"
"AUS",11,3,2.57776845341535,85.5833333333333,85.5833333333333,245.916666666667,0.208186952366661,0.0734544436302046,2024,"2024-11-01",179,"WHO","Observed",860,2219,701,99.9999999015605,"Australia","Pacific Islands","Pacific Islands","Australia"
"AUS",4,8,1.36984835917909,120.083333333334,120.083333333333,898.833333333333,0.681893447689702,0.0824209435989217,2024,"2024-04-01",349,"WHO","Observed",512,774,NA,99.3233889300256,"Australia","Pacific Islands","Pacific Islands","Australia"
"AUS",7,11,1.55746333914867,105.333333333333,105.333333333333,1208.83333333333,0.928937121754748,0.0900628866181923,2024,"2024-07-01",213,"WHO","Observed",229,1586,NA,91.3271700443622,"Australia","Pacific Islands","Pacific Islands","Australia"
"AUS",11,3,2.57776845341535,85.5833333333333,85.5833333333333,245.916666666667,0.208186952366661,0.0734544436302046,2025,"2025-11-01",640,"Estimates","Unobserved",3074,2316,1341,100,"Australia","Pacific Islands","Pacific Islands","Australia"
"AUS",3,7,2.22358267030015,130.5,130.5,778.75,0.59947250409078,0.0956832988742222,2025,"2025-03-01",220,"WHO","Observed",367,724,NA,98.0062058236801,"Australia","Pacific Islands","Pacific Islands","Australia"
"AUS",4,8,1.36984835917909,120.083333333334,120.083333333333,898.833333333333,0.681893447689702,0.0824209435989217,2025,"2025-04-01",195,"WHO","Observed",286,919,NA,92.6457218293766,"Australia","Pacific Islands","Pacific Islands","Australia"
"AUS",2,6,1.70095105063956,138.916666666666,138.916666666667,648.25,0.503789205216558,0.0985446791298301,2025,"2025-02-01",220,"WHO","Observed",437,504,NA,98.0697033081407,"Australia","Pacific Islands","Pacific Islands","Australia"
"AUS",8,12,1.43202396937069,78.8333333333332,78.8333333333333,1287.66666666667,1,0.0710628782452522,2025,"2025-08-01",126,"WHO","Observed",126,1460,NA,81.0625588728403,"Australia","Pacific Islands","Pacific Islands","Australia"
"AUS",3,7,2.22358267030015,130.5,130.5,778.75,0.59947250409078,0.0956832988742222,2024,"2024-03-01",190,"WHO","Observed",317,425,NA,96.0115385992122,"Australia","Pacific Islands","Pacific Islands","Australia"
"AUS",1,5,1089876.14655621,170.5,170.5,509.333333333333,0.405244526086728,0.124349127223473,2025,"2025-01-01",284,"WHO","Observed",701,284,NA,100,"Australia","Pacific Islands","Pacific Islands","Australia"
"AUS",9,1,774354.996955727,66.8333333333333,66.8333333333333,66.8333333333333,0.0549990268751304,0.0549990268751304,2024,"2024-09-01",134,"WHO","Observed",2436,1868,134,100,"Australia","Pacific Islands","Pacific Islands","Australia"
"AUS",7,11,1.55746333914867,105.333333333333,105.333333333333,1208.83333333333,0.928937121754748,0.0900628866181923,2025,"2025-07-01",160,"WHO","Observed",172,1334,NA,82.2587587286039,"Australia","Pacific Islands","Pacific Islands","Australia"
