window_type,origin_date,iso3,region,train_start,train_end,n_train_months,n_gap_in_window,n_targets_with_truth,eligible
expanding,2016-02-01,THA,East & Southeast Asia,2010-02-01,2016-02-01,73,0,6,TRUE
expanding,2016-02-01,TLS,East & Southeast Asia,2010-09-01,2016-02-01,66,0,6,TRUE
expanding,2016-02-01,TWN,East & Southeast Asia,2010-03-01,2016-02-01,72,0,0,FALSE
expanding,2016-02-01,VNM,East & Southeast Asia,2010-03-01,2016-02-01,72,0,6,TRUE
expanding,2016-02-01,AUS,Pacific Islands,2010-09-01,2016-02-01,66,0,6,TRUE
expanding,2016-02-01,COK,Pacific Islands,2014-01-01,2016-02-01,24,2,0,FALSE
expanding,2016-02-01,FJI,Pacific Islands,2010-11-01,2016-02-01,64,0,6,TRUE
expanding,2016-02-01,FSM,Pacific Islands,2016-04-01,2016-02-01,0,0,5,FALSE
expanding,2016-02-01,KIR,Pacific Islands,2011-04-01,2016-02-01,48,11,0,FALSE
expanding,2016-02-01,MHL,Pacific Islands,2011-06-01,2016-02-01,12,45,0,FALSE
expanding,2016-02-01,NCL,Pacific Islands,2011-09-01,2016-02-01,48,6,0,FALSE
expanding,2016-02-01,PLW,Pacific Islands,2010-04-01,2016-02-01,12,59,0,FALSE
expanding,2016-02-01,PYF,Pacific Islands,2010-05-01,2016-02-01,46,24,6,TRUE
expanding,2016-02-01,SLB,Pacific Islands,2013-04-01,2016-02-01,12,23,5,FALSE
expanding,2016-02-01,TON,Pacific Islands,2014-05-01,2016-02-01,12,10,0,FALSE
expanding,2016-02-01,TUV,Pacific Islands,2018-04-01,2016-02-01,0,0,0,FALSE
expanding,2016-02-01,VUT,Pacific Islands,2010-11-01,2016-02-01,12,52,0,FALSE
expanding,2016-02-01,WLF,Pacific Islands,2017-06-01,2016-02-01,0,0,0,FALSE
expanding,2016-02-01,WSM,Pacific Islands,2017-10-01,2016-02-01,0,0,0,FALSE
expanding,2016-03-01,BLZ,North & Central America,2010-03-01,2016-03-01,73,0,6,TRUE
expanding,2016-03-01,CRI,North & Central America,2010-03-01,2016-03-01,73,0,6,TRUE
expanding,2016-03-01,GTM,North & Central America,2010-02-01,2016-03-01,74,0,6,TRUE
expanding,2016-03-01,HND,North & Central America,2010-02-01,2016-03-01,74,0,6,TRUE
expanding,2016-03-01,MEX,North & Central America,2010-02-01,2016-03-01,74,0,6,TRUE
expanding,2016-03-01,NIC,North & Central America,2010-03-01,2016-03-01,73,0,6,TRUE
expanding,2016-03-01,PAN,North & Central America,2010-04-01,2016-03-01,72,0,6,TRUE
expanding,2016-03-01,SLV,North & Central America,2010-02-01,2016-03-01,74,0,6,TRUE
expanding,2016-03-01,USA,North & Central America,2010-03-01,2016-03-01,61,12,6,TRUE
expanding,2016-03-01,ABW,Caribbean,2010-07-01,2016-03-01,45,24,6,TRUE
expanding,2016-03-01,ATG,Caribbean,2015-04-01,2016-03-01,12,0,6,FALSE
expanding,2016-03-01,BES,Caribbean,2010-05-01,2016-03-01,36,0,0,FALSE
expanding,2016-03-01,BHS,Caribbean,2010-04-01,2016-03-01,36,36,6,TRUE
expanding,2016-03-01,BLM,Caribbean,2012-04-01,2016-03-01,48,0,6,TRUE
expanding,2016-03-01,BRB,Caribbean,2010-04-01,2016-03-01,72,0,6,TRUE
expanding,2016-03-01,CUB,Caribbean,2014-04-01,2016-03-01,24,0,6,FALSE
expanding,2016-03-01,CUW,Caribbean,2010-05-01,2016-03-01,48,0,0,FALSE
