"","country","d","mean_ratio","mean_RMSE","rf"
"208","Cayman Islands",14,1,11825.3210644546,1
"209","Cayman Islands",15,1,11801.080533156,1
"210","Cayman Islands",16,1,11775.2837357405,1
"211","Cayman Islands",17,1,11800.1331219494,1
"212","Cayman Islands",18,1,11776.8493253099,1
"213","Cayman Islands",19,1,11825.3210644546,1
"214","Cayman Islands",20,1,11792.4232005494,1
"215","Cayman Islands",21,1,11792.4232005494,1
"216","Cayman Islands",22,1,11789.6381459055,1
"217","Cayman Islands",23,1,11754.8167166077,1
"218","Cayman Islands",24,1,11825.3210644546,1
"219","Cayman Islands",25,1,11825.3210644546,1
"220","Cayman Islands",26,1,11825.3210644546,1
"221","Cayman Islands",27,1,11611.2235531601,1
"222","Cayman Islands",28,NA,11049.7732381389,NA
"223","Colombia",0,0.851767133754447,11795.492301904,1.174029802714
"224","Colombia",1,0.903223038147074,11800.303392638,1.10714625044492
"225","Colombia",2,0.955200337705814,11825.3210644546,1.04690080240317
"226","Colombia",3,1,11800.303392638,1
"227","Colombia",4,1,11800.303392638,1
"228","Colombia",5,1,11825.3210644546,1
"229","Colombia",6,1,11809.4619895439,1
"230","Colombia",7,1,11809.4619895439,1
"231","Colombia",8,1,11795.492301904,1
"232","Colombia",9,1,11825.3210644546,1
"233","Colombia",10,1,11806.1306438432,1
"234","Colombia",11,1,11786.1614158957,1
"235","Colombia",12,1,11805.8576543369,1
"236","Colombia",13,1,11788.3902155824,1
"237","Colombia",14,1,11825.3210644546,1
"238","Colombia",15,1,11801.080533156,1
"239","Colombia",16,1,11775.2837357405,1
"240","Colombia",17,1,11800.1331219494,1
"241","Colombia",18,1,11776.8493253099,1
"242","Colombia",19,1,11825.3210644546,1
"243","Colombia",20,1,11792.4232005494,1
"244","Colombia",21,1,11792.4232005494,1
"245","Colombia",22,1,11789.6381459055,1
"246","Colombia",23,1,11754.8167166077,1
"247","Colombia",24,1,11825.3210644546,1
"248","Colombia",25,1,11825.3210644546,1
"249","Colombia",26,1,11825.3210644546,1
"250","Colombia",27,1,11611.2235531601,1
"251","Colombia",28,NA,11049.7732381389,NA
"252","Costa Rica",0,0.664179973279396,11795.492301904,1.5056160080565
"253","Costa Rica",1,0.737586148240645,11800.303392638,1.35577383385695
"254","Costa Rica",2,0.778998121579616,11825.3210644546,1.28370014291209
"255","Costa Rica",3,0.833357356834144,11800.303392638,1.19996540715608
"256","Costa Rica",4,0.899492509094189,11800.303392638,1.11173799658101
"257","Costa Rica",5,0.948171528441511,11825.3210644546,1.05466149320438
"258","Costa Rica",6,0.974598113660385,11809.4619895439,1.02606396009142
"259","Costa Rica",7,0.980083870404121,11809.4619895439,1.02032084212106
"260","Costa Rica",8,0.982130566257132,11795.492301904,1.0181945602314
"261","Costa Rica",9,0.983053886609031,11825.3210644546,1.01723823446691
"262","Costa Rica",10,0.982915678916345,11806.1306438432,1.0173812682513
"263","Costa Rica",11,0.98283729467017,11786.1614158957,1.01746240748382
"264","Costa Rica",12,0.983090665178783,11805.8576543369,1.01720017839671
"265","Costa Rica",13,0.983146307373228,11788.3902155824,1.01714260888779
"266","Costa Rica",14,0.983043815125018,11825.3210644546,1.01724865627971
"267","Costa Rica",15,0.983206288265283,11801.080533156,1.01708055769695
"268","Costa Rica",16,0.983123546166242,11775.2837357405,1.01716615770171
"269","Costa Rica",17,0.984570639764816,11800.1331219494,1.0156711561487
"270","Costa Rica",18,0.987648240190161,11776.8493253099,1.01250623380594
"271","Costa Rica",19,0.990483495786212,11825.3210644546,1.00960793819814
"272","Costa Rica",20,0.993516559580789,11792.4232005494,1.00652574972877
"273","Costa Rica",21,0.994689979256226,11792.4232005494,1.0053383675864
"274","Costa Rica",22,0.996401570778513,11789.6381459055,1.00361142467758
"275","Costa Rica",23,0.998828547182429,11754.8167166077,1.00117282672875
"276","Costa Rica",24,1.00411084834551,11825.3210644546,0.995905981543489
"277","Costa Rica",25,1.00326837304342,11825.3210644546,0.996742274419048
"278","Costa Rica",26,1.00188863369165,11825.3210644546,0.998114926521631
"279","Costa Rica",27,1.00107353730542,11611.2235531601,0.998927613941019
"280","Costa Rica",28,NA,11049.7732381389,NA
"281","Cuba",0,0.638680027346907,11788.3902155824,1.56572924967456
"282","Cuba",1,0.727430830039526,11825.3210644546,1.37470115192349
"283","Cuba",2,0.751938145759656,11806.1306438432,1.32989662200172
"284","Cuba",3,0.761501976284585,11825.3210644546,1.31319422817399
"285","Cuba",4,0.794203153693246,11809.4393370521,1.25912368309008
"286","Cuba",5,0.793174435509518,11809.4393370521,1.26075672037718
"287","Cuba",6,0.77896364358815,11809.4619895439,1.28375696122824
"288","Cuba",7,0.77896364358815,11809.4619895439,1.28375696122824
"289","Cuba",8,0.770778979474632,11795.492301904,1.29738878022025
"290","Cuba",9,1,11825.3210644546,1
"291","Cuba",10,1,11825.3210644546,1
"292","Cuba",11,1,11786.1614158957,1
"293","Cuba",12,1,11805.8576543369,1
"294","Cuba",13,1,11788.3902155824,1
"295","Cuba",14,1,11788.3902155824,1
"296","Cuba",15,1,11825.3210644546,1
"297","Cuba",16,1,11754.8167166077,1
"298","Cuba",17,1,11825.3210644546,1
"299","Cuba",18,1,11776.8493253099,1
"300","Cuba",19,1,11776.8493253099,1
"301","Cuba",20,1,11774.146609491,1
"302","Cuba",21,1,11776.8493253099,1
"303","Cuba",22,1,11775.2837357405,1
"304","Cuba",23,1,11789.6381459055,1
"305","Cuba",24,1,11825.3210644546,1
"306","Cuba",25,1,11825.3210644546,1
"307","Cuba",27,1,11710.1785407864,1
"308","Dominica",0,7.89605051275532,11786.1614158957,0.126645593057516
"309","Dominica",1,7.75054896794027,11793.1542102812,0.129023118766999
"310","Dominica",2,7.83581850248517,11809.4619895439,0.12761908659355
"311","Dominica",3,8.05988455988456,11793.1542102812,0.124071255930534
"312","Dominica",4,8.10371897384641,11809.4393370521,0.123400133102759
"313","Dominica",5,8.43594522183353,11809.4393370521,0.118540361951598
"314","Dominica",6,8.43117684784352,11809.4619895439,0.118607404167518
"315","Dominica",7,8.0623697290364,11809.4619895439,0.124033011832554
"316","Dominica",8,8.06343101343101,11795.492301904,0.124016686982791
"317","Dominica",9,8.23333333333333,11825.3210644546,0.121457489878543
"318","Dominica",10,8.24897660818713,11806.1306438432,0.121227159137231
"319","Dominica",11,8.43336299686414,11786.1614158957,0.118576658015532
