"","country","iso3","Year","Month","date","cases","source"
"3700","Sint Maarten","SXM",2025,4,2025-04-01,0,"WHO"
"3701","Sint Maarten","SXM",2025,5,2025-05-01,6,"PAHO"
"3702","Sint Maarten","SXM",2025,6,2025-06-01,0,"WHO"
"3703","Sint Maarten","SXM",2025,7,2025-07-01,2,"PAHO"
"3704","Sint Maarten","SXM",2025,8,2025-08-01,NA,"WHO"
"3705","Sint Maarten","SXM",2025,9,2025-09-01,NA,"WHO"
"3706","Sint Maarten","SXM",2025,10,2025-10-01,NA,"WHO"
"3707","Sint Maarten","SXM",2025,11,2025-11-01,NA,"WHO"
"3708","Sint Maarten","SXM",2025,12,2025-12-01,NA,"WHO"
"3709","Sint Maarten","SXM",2026,1,2026-01-01,NA,"WHO"
"3710","Sint Maarten","SXM",2026,2,2026-02-01,NA,"WHO"
"3711","Sint Maarten","SXM",2026,3,2026-03-01,NA,"WHO"
"3712","Sint Maarten","SXM",2026,4,2026-04-01,NA,"WHO"
"3713","Sint Maarten","SXM",2026,5,2026-05-01,NA,"WHO"
"3714","Sint Maarten","SXM",2026,6,2026-06-01,NA,NA
"3715","Sint Maarten","SXM",2026,7,2026-07-01,NA,NA
"3716","Sint Maarten","SXM",2026,8,2026-08-01,NA,NA
"3717","Sint Maarten","SXM",2026,9,2026-09-01,NA,NA
"3718","Sint Maarten","SXM",2026,10,2026-10-01,NA,NA
"3719","Sint Maarten","SXM",2026,11,2026-11-01,NA,NA
"3720","Sint Maarten","SXM",2026,12,2026-12-01,NA,NA
"3721","Slovakia","SVK",2025,1,2025-01-01,0,"WHO"
"3722","Slovakia","SVK",2025,2,2025-02-01,0,"WHO"
"3723","Slovakia","SVK",2025,3,2025-03-01,0,"WHO"
"3724","Slovakia","SVK",2025,4,2025-04-01,0,"WHO"
"3725","Slovakia","SVK",2025,5,2025-05-01,0,"WHO"
"3726","Slovakia","SVK",2025,6,2025-06-01,0,"WHO"
"3727","Slovakia","SVK",2025,7,2025-07-01,0,"WHO"
"3728","Slovakia","SVK",2025,8,2025-08-01,0,"WHO"
"3729","Slovakia","SVK",2025,9,2025-09-01,0,"WHO"
"3730","Slovakia","SVK",2025,10,2025-10-01,0,"WHO"
"3731","Slovakia","SVK",2025,11,2025-11-01,0,"WHO"
"3732","Slovakia","SVK",2025,12,2025-12-01,0,"WHO"
"3733","Slovakia","SVK",2026,1,2026-01-01,0,"WHO"
"3734","Slovakia","SVK",2026,2,2026-02-01,0,"WHO"
"3735","Slovakia","SVK",2026,3,2026-03-01,0,"WHO"
"3736","Slovakia","SVK",2026,4,2026-04-01,0,"WHO"
"3737","Slovakia","SVK",2026,5,2026-05-01,0,"WHO"
"3738","Slovakia","SVK",2026,6,2026-06-01,NA,NA
"3739","Slovakia","SVK",2026,7,2026-07-01,NA,NA
"3740","Slovakia","SVK",2026,8,2026-08-01,NA,NA
"3741","Slovakia","SVK",2026,9,2026-09-01,NA,NA
"3742","Slovakia","SVK",2026,10,2026-10-01,NA,NA
"3743","Slovakia","SVK",2026,11,2026-11-01,NA,NA
"3744","Slovakia","SVK",2026,12,2026-12-01,NA,NA
"3745","Slovenia","SVN",2025,1,2025-01-01,0,"WHO"
"3746","Slovenia","SVN",2025,2,2025-02-01,0,"WHO"
"3747","Slovenia","SVN",2025,3,2025-03-01,0,"WHO"
"3748","Slovenia","SVN",2025,4,2025-04-01,0,"WHO"
"3749","Slovenia","SVN",2025,5,2025-05-01,0,"WHO"
"3750","Slovenia","SVN",2025,6,2025-06-01,0,"WHO"
"3751","Slovenia","SVN",2025,7,2025-07-01,0,"WHO"
"3752","Slovenia","SVN",2025,8,2025-08-01,0,"WHO"
"3753","Slovenia","SVN",2025,9,2025-09-01,0,"WHO"
"3754","Slovenia","SVN",2025,10,2025-10-01,0,"WHO"
"3755","Slovenia","SVN",2025,11,2025-11-01,0,"WHO"
"3756","Slovenia","SVN",2025,12,2025-12-01,0,"WHO"
"3757","Slovenia","SVN",2026,1,2026-01-01,0,"WHO"
"3758","Slovenia","SVN",2026,2,2026-02-01,0,"WHO"
"3759","Slovenia","SVN",2026,3,2026-03-01,0,"WHO"
"3760","Slovenia","SVN",2026,4,2026-04-01,0,"WHO"
"3761","Slovenia","SVN",2026,5,2026-05-01,0,"WHO"
"3762","Slovenia","SVN",2026,6,2026-06-01,NA,NA
"3763","Slovenia","SVN",2026,7,2026-07-01,NA,NA
"3764","Slovenia","SVN",2026,8,2026-08-01,NA,NA
"3765","Slovenia","SVN",2026,9,2026-09-01,NA,NA
"3766","Slovenia","SVN",2026,10,2026-10-01,NA,NA
"3767","Slovenia","SVN",2026,11,2026-11-01,NA,NA
"3768","Slovenia","SVN",2026,12,2026-12-01,NA,NA
"3769","Solomon Islands","SLB",2025,1,2025-01-01,47,"WHO"
"3770","Solomon Islands","SLB",2025,2,2025-02-01,34,"WHO"
"3771","Solomon Islands","SLB",2025,3,2025-03-01,30,"WHO"
"3772","Solomon Islands","SLB",2025,4,2025-04-01,30,"WHO"
