"country","iso3","Month","season_nMonth","nb_size","nb_mean","Ave_season_monthly_cases","Ave_season_monthly_cum_cases","Ave_cum_monthly_proportion","Ave_monthly_proportion"
"Cote D'ivoire","CIV",7,7,4.48972702444658,1069,1069,2252.75,0.551101296920809,0.253067643305914
"Cote D'ivoire","CIV",8,8,3.21345481143803,1124.25,1124.25,3377,0.8220280223177,0.270926725396891
"Cote D'ivoire","CIV",9,9,7.2865355957852,336.5,336.5,3713.5,0.909605441781394,0.0875774194636944
"Cote D'ivoire","CIV",10,10,20.3875740918699,141.75,141.75,3855.25,0.948482889306759,0.0388774475253647
"Cote D'ivoire","CIV",11,11,6.74041078078534,99.2499999999999,99.25,3954.5,0.977474911768705,0.0289920224619466
"Cote D'ivoire","CIV",12,12,1.47716529610721,72,72,4026.5,1,0.0225250882312945
"Cuba","CUB",4,1,8.6627247119521,65.625,65.625,65.625,0.0186279612158078,0.0186279612158078
"Cuba","CUB",5,2,10.8912210315536,91.125,91.125,156.75,0.0446996530996318,0.026071691883824
"Cuba","CUB",6,3,0.986388350075113,536.625000000001,536.625,693.375,0.193356731460844,0.148657078361212
"Cuba","CUB",7,4,1.12786106572625,268.875,268.875,962.25,0.254450554629316,0.0610938231684718
