model,window_type,stratum_axis,lead_time,stratum_value,n_obs,n_seasons,thin_evidence,crps,crps_log,dispersion,dispersion_log,overprediction,overprediction_log,underprediction,underprediction_log,bias,coverage_50,coverage_90,uMAE,uRMSE
nowcast,expanding,seasonality_signal,1,moderate,453,237,FALSE,1056.430110375276,0.6912158789317401,340.8053863134658,0.15918426512651218,296.4935982339955,0.3353166771038488,419.13112582781457,0.196714936701379,0.032671081677704286,0.4105960264900662,0.7218543046357616,0.9711708262933021,2.357073835072081
nowcast,expanding,seasonality_signal,1,strong,393,208,FALSE,4242.401679389315,0.760073695161442,1346.0225445292622,0.18774878647920673,890.3175572519078,0.3526578502004076,2006.0615776081404,0.2196670584818278,2.3699766992270208e-17,0.3816793893129771,0.7506361323155216,1.010519340304293,1.858697178170129
nowcast,expanding,seasonality_signal,1,weak,564,296,FALSE,685.312730496454,0.5666529603729913,198.66875886524824,0.13488592806238117,236.6897163120567,0.26607337715003515,249.95425531914887,0.16569365516057483,0.10460992907801428,0.38120567375886527,0.7429078014184397,0.7921217132234021,2.2304856962572766
nowcast,expanding,seasonality_signal,2,moderate,454,239,FALSE,1246.2423788546257,0.7756393855008417,347.15955947136564,0.14935952235710306,322.0074889867841,0.3846412177321836,577.0753303964758,0.24163864541155494,0.036343612334801774,0.3568281938325991,0.6541850220264317,1.0771600161933306,2.870078000979195
nowcast,expanding,seasonality_signal,2,strong,392,208,FALSE,8347.834387755101,0.8235705181004537,3333.6894897959182,0.1649938293874731,1963.860714285716,0.37647649294271746,3050.2841836734765,0.282100195770263,-0.014030612244897812,0.3520408163265306,0.6683673469387755,1.0298273039432013,2.0226845091768295
nowcast,expanding,seasonality_signal,2,weak,564,296,FALSE,845.4048581560285,0.6615644116730878,175.20982269503548,0.1414946721430401,270.277304964539,0.3105038871088274,399.9177304964537,0.20956585242122047,0.03794326241134757,0.3617021276595745,0.6400709219858156,0.9029187449438872,2.525655654744127
nowcast,expanding,seasonality_signal,3,moderate,451,241,FALSE,1198.4408425720621,0.7994373239813005,372.03507760532153,0.13871079641365766,322.7787139689578,0.3869338236239018,503.62705099778276,0.2737927039437411,0.045232815964523436,0.3259423503325942,0.6319290465631929,1.0584380157116358,3.4323834925932317
nowcast,expanding,seasonality_signal,3,strong,394,212,FALSE,10336.785380710662,0.9309243027266942,4786.974213197968,0.1530566680826483,3009.7299492385773,0.4670642522476288,2540.0812182741133,0.310803382396417,0.03350253807106614,0.30710659898477155,0.5964467005076142,1.2347598485847564,2.399267323151192
nowcast,expanding,seasonality_signal,3,weak,559,296,FALSE,942.9119499105547,0.7568801656202369,266.4869051878354,0.15037678142207286,335.8490161001789,0.3979384352563919,340.57602862254004,0.2085649489417719,0.10966010733452597,0.3184257602862254,0.6207513416815742,1.1999423954311805,3.531198256143276
nowcast,expanding,seasonality_signal,4,moderate,451,243,FALSE,1396.7725942350332,0.858492982856387,435.18767184035477,0.15177417050593067,385.6270509977825,0.4443690882588843,575.9578713968958,0.2623497240915721,0.10354767184035477,0.3170731707317073,0.614190687361419,0.9287579448424448,1.6374747475145461
nowcast,expanding,seasonality_signal,4,strong,393,214,FALSE,7627.691857506363,0.9809698004225835,2818.3890585241725,0.15826780142818536,2284.898727735368,0.48762963546600563,2524.404071246819,0.33507236352839237,0.04427480916030541,0.2748091603053435,0.6132315521628499,1.62755973508226,4.84532225598301
nowcast,expanding,seasonality_signal,4,weak,558,295,FALSE,1009.9926164874553,0.8225692027878215,281.5134050179211,0.13993452415460536,412.5630824372761,0.4835463793554739,315.91612903225797,0.19908829927774246,0.14372759856630848,0.2992831541218638,0.5913978494623656,1.1720976912467154,3.154368769440473
nowcast,expanding,seasonality_signal,5,moderate,451,243,FALSE,1488.3730820399114,0.844587910328407,371.0316186252772,0.14117702472915042,440.10864745011094,0.4518367148895403,677.2328159645233,0.2515741707097162,0.10066518847006642,0.28824833702882485,0.5920177383592018,0.958913474127294,1.759757833521261
nowcast,expanding,seasonality_signal,5,strong,391,214,FALSE,3728.7215856777498,1.0705096203573135,1284.6453708439897,0.17891492491264835,909.3401534526857,0.5331236076493481,1534.7360613810743,0.35847108779531706,0.057289002557544905,0.27365728900255754,0.5856777493606138,1.435821681369125,3.108395212579852
nowcast,expanding,seasonality_signal,5,weak,558,296,FALSE,1163.9620788530465,0.8492917655189107,285.9663799283154,0.14148585697585736,421.86630824372776,0.5007832732024041,456.1293906810038,0.20702263534064907,0.1985663082437278,0.2831541218637993,0.5806451612903226,1.2810867828994121,3.71939341545266
nowcast,expanding,seasonality_signal,6,moderate,453,246,FALSE,2869.792759381899,1.0233321556203443,1044.0656070640177,0.19360393353757344,557.8768211920528,0.5315832413508021,1267.8503311258285,0.2981449807319689,0.13995584988962484,0.3333333333333333,0.6203090507726269,1.3077960342838117,3.262612075101616
nowcast,expanding,seasonality_signal,6,strong,397,219,FALSE,4698.814559193954,1.087198434627936,1219.7611586901764,0.21549631536468714,809.0483627204031,0.5156753732917616,2670.0050377833763,0.3560267459714873,0.08136020151133495,0.3022670025188917,0.6246851385390428,1.5384461861828356,2.9381677878888453
nowcast,expanding,seasonality_signal,6,weak,563,299,FALSE,1407.6161278863233,0.8921443964160028,396.73655417406746,0.16879643686863618,509.1211367673181,0.48066879415142566,501.7584369449372,0.24267916539594098,0.16287744227353462,0.31261101243339257,0.5932504440497336,1.2263327078996655,2.7689990449817308
glm_ar1,expanding,endemicity,1,emerging,614,327,FALSE,265.44078175895766,0.7147196402215588,68.59355048859935,0.23594150342318862,26.769381107491856,0.4190496563512413,170.07785016286638,0.05972848044712871,0.5089576547231272,0.44788273615635177,0.8615635179153095,2.4969473285221064,6.37183127845046
glm_ar1,expanding,endemicity,1,endemic,919,481,FALSE,4359.914798694234,0.5222130329192919,598.4064200217626,0.23513929347201373,222.5088139281821,0.2163795044670492,3538.999564744281,0.0706942349802289,0.2522306855277467,0.6137105549510338,0.809575625680087,0.8186110260584757,1.737500027109728
glm_ar1,expanding,endemicity,2,emerging,605,328,FALSE,432.0094545454547,1.1520345867130963,80.5449917355372,0.2449413588612295,57.540826446280995,0.832063401820805,293.92363636363643,0.07502982603106172,0.6320661157024793,0.24297520661157024,0.7553719008264462,6.701616664516653,16.386592305483788
glm_ar1,expanding,endemicity,2,endemic,916,481,FALSE,8970.200698689958,0.7349467015179374,413.765327510917,0.2363325041897993,313.5742358078602,0.3537720527660797,8242.861135371186,0.1448421445620582,0.2601528384279471,0.44868995633187775,0.7510917030567685,1.5477579894490279,3.4859608994737967
glm_ar1,expanding,endemicity,3,emerging,578,329,FALSE,737.7526643598617,1.5637883515156834,102.8298269896194,0.24713830591577132,101.07854671280278,1.2144728019680398,533.844290657441,0.10217724363187229,0.6717993079584774,0.18339100346020762,0.5657439446366782,14.856602183871923,38.92801676645787
