iso3,origin_date,horizon,target_date,model,window_type,overprediction,underprediction,dispersion,bias,interval_coverage_50,interval_coverage_90,ae_median,dispersion_log,overprediction_log,underprediction_log,ae_median_log,crps,crps_log,.pred,actual,lead_time,squared_error,season,season_nMonth,region,seasonality_signal,endemicity,size_class,mean_actual_predicted_month,umae_row,urmse_sq_row
BOL,2016-01-01,4,2016-05-01,glm_ar1,expanding,236.6,0,681.86,0.5,TRUE,TRUE,1183,0.28749909813533003,0.07619892119197136,0,0.3809946059598568,918.4600000000003,0.36369801932730145,3733,2550,4,1399489,2015/2016,10,South America,strong,endemic,large,3817.3125,0.3099038918087005,0.09604042215817873
BOL,2016-01-01,5,2016-06-01,glm_ar1,expanding,549,0,591.5600000000001,0.9,FALSE,TRUE,2623,0.2875337354711688,0.3694032225902005,0,1.6584595848809878,1140.5600000000002,0.6569369580613693,3239,616,5,6880129,2015/2016,11,South America,strong,endemic,large,1448.6875,1.8106044264204668,3.2782883889733876
BOL,2016-01-01,6,2016-07-01,glm_ar1,expanding,553.4,0,534.3,0.9,FALSE,TRUE,2465,0.28748326178570216,0.48293240352295524,0,1.8479935385834212,1087.7000000000003,0.7704156653086575,2925,460,6,6076225,2015/2016,12,South America,strong,endemic,large,761.3125,3.237829406452672,10.483539265289664
BRA,2016-01-01,1,2016-02-01,glm_ar1,expanding,0,349906.2,18224.48,-1,FALSE,FALSE,456919,0.2877515698628579,0,1.112519712844436,1.7190158089421903,368130.68,1.4002712827072936,99784,556703,1,208774972561,2015/2016,5,South America,strong,endemic,continental,303266.375,1.50665895617343,2.27002121021761
BRA,2016-01-01,2,2016-03-01,glm_ar1,expanding,0,416276,6242.2,-1,FALSE,FALSE,452930,0.28773144365200615,0,2.0503886000157787,2.6568764969565475,422518.2,2.338120043667785,34178,487108,2,205145584900,2015/2016,6,South America,strong,endemic,continental,484512.875,0.9348151996992856,0.8738794575888152
BRA,2016-01-01,3,2016-04-01,glm_ar1,expanding,0,329572.2,2894.94,-1,FALSE,FALSE,346571,0.28771243984693784,0,2.5230854971491485,3.129576688912275,332467.14,2.8107979369960865,15850,362421,3,120111458041,2015/2016,7,South America,strong,endemic,continental,432993.5625,0.8004068189812868,0.6406510758717424
BRA,2016-01-01,4,2016-05-01,glm_ar1,expanding,0,145219.2,1668.4,-1,FALSE,FALSE,155016,0.287664284859168,0,2.2821175185762046,2.888570174937792,146887.6,2.5697818034353728,9135,164151,4,24029960256,2015/2016,8,South America,strong,endemic,continental,302646.25,0.5122019519488512,0.26235083958021327
BRA,2016-01-01,5,2016-06-01,glm_ar1,expanding,0,35947.6,1123.7,-1,FALSE,FALSE,42546,0.28764255282939555,0,1.462178853172348,2.068576753188694,37071.3,1.7498214060017439,6153,48699,5,1810162116,2015/2016,9,South America,strong,endemic,continental,130234.3125,0.3266880991904495,0.10672511415266898
BRA,2016-01-01,6,2016-07-01,glm_ar1,expanding,0,25175.6,846.4399999999999,-1,FALSE,FALSE,30146,0.28758722186207103,0,1.408970172557457,2.015435061651395,26022.04,1.696557394419528,4634,34780,6,908781316,2015/2016,10,South America,strong,endemic,continental,56594.625,0.5326654253827108,0.28373245539814423
BRB,2016-01-01,1,2016-02-01,glm_ar1,expanding,83.8,0,121.2,0.5,TRUE,TRUE,419,0.28694473550145755,0.19940478778634124,0,0.9970239389317062,205.00000000000006,0.48634952328779885,663,244,1,175561,2015/2016,11,Caribbean,weak,endemic,very_small,85.9375,4.875636363636364,23.771829950413224
