model,window_type,iso3,origin_date,n_months,peak_timing_diff,dtw_distance,season,region,seasonality_signal,endemicity,size_class
glm_ar1,expanding,BGD,2020-07-01,6,2,0.7841549144745029,2020/2021,South Asia,strong,emerging,medium
glm_ar1,expanding,BGD,2021-01-01,6,0,1.0377418223307397,2020/2021,South Asia,strong,emerging,medium
glm_ar1,expanding,BGD,2021-07-01,6,-1,0.7223063185096227,2021/2022,South Asia,strong,emerging,medium
glm_ar1,expanding,BGD,2022-01-01,6,0,0.8239513140621805,2021/2022,South Asia,strong,emerging,medium
glm_ar1,expanding,BGD,2022-07-01,6,3,0.9022324528645352,2022/2023,South Asia,strong,emerging,medium
glm_ar1,expanding,BGD,2023-01-01,6,0,1.0298760581634592,2022/2023,South Asia,strong,emerging,medium
glm_ar1,expanding,BGD,2023-07-01,6,0,0.6894167111630393,2023/2024,South Asia,strong,emerging,medium
glm_ar1,expanding,BGD,2024-01-01,6,0,0.5896647224789562,2023/2024,South Asia,strong,emerging,medium
glm_ar1,expanding,BGD,2024-07-01,6,3,1.1618485029312522,2024/2025,South Asia,strong,emerging,medium
glm_ar1,expanding,BGD,2025-01-01,6,0,0.5699891368885089,2024/2025,South Asia,strong,emerging,medium
glm_ar1,expanding,BGD,2025-07-01,6,-3,0.6492437753775719,2025/2026,South Asia,strong,emerging,medium
glm_ar1,expanding,BGD,2026-01-01,6,0,0.6568946145704833,2025/2026,South Asia,strong,emerging,medium
glm_ar1,expanding,BHS,2016-07-01,6,4,1.0083949903818576,2016/2017,Caribbean,moderate,emerging,very_small
glm_ar1,expanding,BHS,2017-01-01,2,NA,NA,2016/2017,Caribbean,moderate,emerging,very_small
glm_ar1,expanding,BHS,2025-01-01,6,5,3.2572880361979455,2024/2025,Caribbean,moderate,emerging,very_small
glm_ar1,expanding,BHS,2025-07-01,6,5,3.2429489711266797,2025/2026,Caribbean,moderate,emerging,very_small
glm_ar1,expanding,BHS,2026-01-01,6,3,3.1893562646032927,2025/2026,Caribbean,moderate,emerging,very_small
glm_ar1,expanding,BLM,2016-01-01,6,5,2.9627462517516086,2015/2016,Caribbean,moderate,emerging,very_small
