"country","region","type_of_missingness","accompanying_text","data_status_message"
"Guyana","South America","Full data","Guyana is estimated to have experienced <span class=""scrolly-step-number"">22,697</span> cases this year to date. This is <span class=""scrolly-step-number"">15.2×</span> the number of cases reported in an average year. This year the dengue situation in Guyana is <span class=""scrolly-modifier above"">above</span> average.","Some recent months contain estimated data"
"Haiti","Caribbean","No current year data reported","Current year data for Haiti has not been reported yet. We do not have enough data to estimate current cases.","Recent months contain observed data only"
"Honduras","North & Central America","Full data","Honduras is estimated to have experienced <span class=""scrolly-step-number"">1,453</span> cases this year to date. This is <span class=""scrolly-step-number"">0.4×</span> the number of cases reported in an average year. This year the dengue situation in Honduras is <span class=""scrolly-modifier below"">below</span> average.","Recent months contain observed data only"
"India","South Asia","Full data","India is estimated to have experienced <span class=""scrolly-step-number"">6,563</span> cases this year to date. This is <span class=""scrolly-step-number"">0.5×</span> the number of cases reported in an average year. This year the dengue situation in India is <span class=""scrolly-modifier below"">below</span> average.","Recent months contain observed data only"
"Indonesia","East & Southeast Asia","Full data","Indonesia is estimated to have experienced <span class=""scrolly-step-number"">0</span> cases this year to date. This is <span class=""scrolly-step-number"">0.0×</span> the number of cases reported in an average year. This year the dengue situation in Indonesia is <span class=""scrolly-modifier below"">below</span> average.","Recent months contain estimated data"
"Jamaica","Caribbean","Full data","Jamaica is estimated to have experienced <span class=""scrolly-step-number"">59</span> cases this year to date. This is <span class=""scrolly-step-number"">0.2×</span> the number of cases reported in an average year. This year the dengue situation in Jamaica is <span class=""scrolly-modifier below"">below</span> average.","Recent months contain observed data only"
"Kenya","Sub-Saharan Africa","Full data","Kenya is estimated to have experienced <span class=""scrolly-step-number"">2,115</span> cases this year to date. This is <span class=""scrolly-step-number"">5.8×</span> the number of cases reported in an average year. This year the dengue situation in Kenya is <span class=""scrolly-modifier above"">above</span> average.","Some recent months contain estimated data"
"Kiribati","Pacific Islands","Full data","Kiribati is estimated to have experienced <span class=""scrolly-step-number"">306</span> cases this year to date. This is <span class=""scrolly-step-number"">2.3×</span> the number of cases reported in an average year. This year the dengue situation in Kiribati is <span class=""scrolly-modifier above"">above</span> average.","Some recent months contain estimated data"
"Lao People's Democratic Republic","East & Southeast Asia","Full data","Lao People's Democratic Republic is estimated to have experienced <span class=""scrolly-step-number"">605</span> cases this year to date. This is <span class=""scrolly-step-number"">1.1×</span> the number of cases reported in an average year. This year the dengue situation in Lao People's Democratic Republic is <span class=""scrolly-modifier near"">near</span> average.","Some recent months contain estimated data"
"Malaysia","East & Southeast Asia","No current year data reported","Current year data for Malaysia has not been reported yet. We do not have enough data to estimate current cases.","Recent months contain observed data only"
"Maldives","South Asia","Full data","Maldives is estimated to have experienced <span class=""scrolly-step-number"">631</span> cases this year to date. This is <span class=""scrolly-step-number"">2.1×</span> the number of cases reported in an average year. This year the dengue situation in Maldives is <span class=""scrolly-modifier above"">above</span> average.","Recent months contain observed data only"
