"Region","Country","source","Data_status","Year","Month","season_nMonth","cases","cum_todate_cases_calendar","Predicted_total_seasonal_cases","Ave_season_monthly_cases","Ave_monthly_proportion","Ave_season_monthly_cum_cases","Ave_cum_monthly_proportion"
"South Asia","Sri Lanka","SEARO","Observed",2024,2,2,6047,16799,31403,4195,0.07,11018,0.19
"Caribbean","Saint Martin","WHO","Observed",2024,10,5,45,606,147,76,0.1,244,0.31
"Caribbean","Saint Martin","WHO","Observed",2024,3,10,44,439,51,59,0.06,753,0.87
"Caribbean","Saint Martin","WHO","Observed",2025,6,1,30,184,396,58,0.08,58,0.08
"Caribbean","Saint Martin","Estimates","Unobserved",2025,7,2,348,532,3010,29,0.04,87,0.12
"Caribbean","Saint Martin","WHO","Observed",2025,1,8,53,53,76,118,0.13,592,0.7
"Caribbean","Saint Martin","WHO","Observed",2025,5,12,34,154,34,66,0.08,861,1
"Caribbean","Saint Martin","Estimates","Unobserved",2025,8,3,362,894,2303,38,0.04,125,0.16
"Caribbean","Saint Martin","Estimates","Unobserved",2025,10,5,849,1763,2770,76,0.1,244,0.31
"Caribbean","Saint Martin","WHO","Observed",2024,5,12,46,515,46,66,0.08,861,1
"Caribbean","Saint Martin","WHO","Observed",2024,8,3,0,561,0,38,0.04,125,0.16
"Caribbean","Saint Martin","WHO","Observed",2025,4,11,40,120,44,41,0.05,795,0.92
"Caribbean","Saint Martin",NA,"Unobserved",2025,12,7,NA,NA,NA,87,0.11,474,0.57
"Caribbean","Saint Martin","WHO","Observed",2024,12,7,8,624,14,87,0.11,474,0.57
"Caribbean","Saint Martin","WHO","Observed",2024,11,6,10,616,22,144,0.15,387,0.46
"Caribbean","Saint Martin","WHO","Observed",2024,6,1,40,555,529,58,0.08,58,0.08
"Caribbean","Saint Martin","WHO","Observed",2025,2,9,17,70,21,103,0.11,695,0.81
"Caribbean","Saint Martin","WHO","Observed",2024,9,4,0,561,0,43,0.05,168,0.21
"Caribbean","Saint Martin","WHO","Observed",2024,2,9,169,395,209,103,0.11,695,0.81
"Caribbean","Saint Martin","Estimates","Unobserved",2025,11,6,1339,3102,2910,144,0.15,387,0.46
"Caribbean","Saint Martin","WHO","Observed",2024,4,11,30,469,33,41,0.05,795,0.92
"Caribbean","Saint Martin","WHO","Observed",2025,3,10,10,80,11,59,0.06,753,0.87
"Caribbean","Saint Martin","WHO","Observed",2025,9,4,20,914,96,43,0.05,168,0.21
"Caribbean","Saint Martin","WHO","Observed",2024,7,2,6,561,52,29,0.04,87,0.12
"Caribbean","Saint Martin","WHO","Observed",2024,1,8,226,226,325,118,0.13,592,0.7
"South Asia","Maldives","SEARO","Observed",2024,3,3,125,383,568,110,0.06,396,0.22
"South Asia","Maldives","SEARO","Observed",2025,11,11,0,1292,0,126,0.07,1792,0.94
"South Asia","Maldives","SEARO","Observed",2024,8,8,394,2757,547,174,0.09,1381,0.72
"South Asia","Maldives","SEARO","Observed",2024,12,12,68,3246,68,128,0.06,1920,1
"South Asia","Maldives","SEARO","Observed",2024,7,7,440,2363,703,292,0.15,1207,0.63
"South Asia","Maldives","SEARO","Observed",2025,8,8,256,1040,355,174,0.09,1381,0.72
"South Asia","Maldives","SEARO","Observed",2025,3,3,69,215,314,110,0.06,396,0.22
"South Asia","Maldives","SEARO","Observed",2025,12,12,NA,NA,0,128,0.06,1920,1
"South Asia","Maldives","SEARO","Observed",2025,9,9,252,1292,317,140,0.07,1521,0.79
"South Asia","Maldives","SEARO","Observed",2024,2,2,120,258,765,109,0.06,286,0.16
"South Asia","Maldives","SEARO","Observed",2024,9,9,180,2937,227,140,0.07,1521,0.79
"South Asia","Maldives","SEARO","Observed",2025,7,7,168,784,268,292,0.15,1207,0.63
"South Asia","Maldives","SEARO","Observed",2024,1,1,138,138,1433,176,0.1,176,0.1
"South Asia","Maldives","SEARO","Observed",2024,10,10,117,3054,135,144,0.07,1666,0.87
"South Asia","Maldives","SEARO","Observed",2025,10,10,0,1292,0,144,0.07,1666,0.87
"South Asia","Maldives","SEARO","Observed",2025,4,4,120,335,422,125,0.06,521,0.28
"South Asia","Maldives","SEARO","Observed",2025,5,5,116,451,316,162,0.08,684,0.37
"South Asia","Maldives","SEARO","Observed",2025,6,6,165,616,345,231,0.11,914,0.48
"South Asia","Maldives","SEARO","Observed",2024,5,5,667,1305,1819,162,0.08,684,0.37
"South Asia","Maldives","SEARO","Observed",2024,6,6,618,1923,1291,231,0.11,914,0.48
"South Asia","Maldives","SEARO","Observed",2024,4,4,255,638,896,125,0.06,521,0.28
"South Asia","Maldives","SEARO","Observed",2024,11,11,124,3178,133,126,0.07,1792,0.94
"South Asia","Maldives","SEARO","Observed",2025,2,2,74,146,472,109,0.06,286,0.16
"South Asia","Maldives","SEARO","Observed",2025,1,1,72,72,748,176,0.1,176,0.1
"North & Central America","Mexico","PAHO","Observed",2025,8,6,13106,78965,37780,11162,0.12,33028,0.35
"North & Central America","Mexico","PAHO","Observed",2024,11,9,60222,532460,71288,14465,0.15,81570,0.84
"North & Central America","Mexico","PAHO","Observed",2025,10,8,23493,123001,33755,19125,0.19,67104,0.7
"North & Central America","Mexico","PAHO","Observed",2024,1,11,21247,21247,22275,3734,0.05,91282,0.95
"North & Central America","Mexico","PAHO","Observed",2025,6,4,11965,54131,78686,5365,0.06,14121,0.15
"North & Central America","Mexico","PAHO","Observed",2024,10,8,95931,472238,137835,19125,0.19,67104,0.7
"North & Central America","Mexico","PAHO","Observed",2024,3,1,12467,47387,401679,2707,0.03,2707,0.03
"North & Central America","Mexico","PAHO","Observed",2024,5,3,16998,81185,176955,3511,0.04,8755,0.1
"North & Central America","Mexico","PAHO","Observed",2025,1,11,11169,11169,11709,3734,0.05,91282,0.95
"North & Central America","Mexico","PAHO","Observed",2024,6,4,31988,113173,210365,5365,0.06,14121,0.15
"North & Central America","Mexico","PAHO","Observed",2025,7,5,11728,65859,50581,7745,0.08,21866,0.23
"North & Central America","Mexico","PAHO","Observed",2024,4,2,16800,64187,284772,2538,0.03,5244,0.06
"North & Central America","Mexico","PAHO","Observed",2024,2,12,13673,34920,13673,3859,0.05,95141,1
"North & Central America","Mexico","PAHO","Observed",2025,3,1,8693,28228,280083,2707,0.03,2707,0.03
"North & Central America","Mexico","PAHO","Observed",2024,7,5,58351,171524,251659,7745,0.08,21866,0.23
"North & Central America","Mexico",NA,"Unobserved",2025,12,10,NA,NA,NA,5979,0.06,87549,0.91
"North & Central America","Mexico","PAHO","Observed",2024,8,6,78848,250372,227288,11162,0.12,33028,0.35
"North & Central America","Mexico","PAHO","Observed",2025,4,2,6206,34434,105196,2538,0.03,5244,0.06
"North & Central America","Mexico","PAHO","Observed",2025,5,3,7732,42166,80493,3511,0.04,8755,0.1
"North & Central America","Mexico","PAHO","Observed",2024,9,7,125935,376307,250631,14951,0.16,47979,0.5
"North & Central America","Mexico","PAHO","Observed",2024,12,10,26387,558847,29110,5979,0.06,87549,0.91
"North & Central America","Mexico","PAHO","Observed",2025,9,7,20543,99508,40884,14951,0.16,47979,0.5
"North & Central America","Mexico","PAHO","Observed",2025,11,9,20946,143947,24795,14465,0.15,81570,0.84
"North & Central America","Mexico","PAHO","Observed",2025,2,12,8366,19535,8366,3859,0.05,95141,1
"Pacific Islands","Marshall Islands","WHO","Observed",2024,5,12,0,0,0,23,0.02,978,1
"Pacific Islands","Marshall Islands","WHO","Observed",2024,3,10,0,0,0,87,0.1,928,0.95
"Pacific Islands","Marshall Islands","WHO","Observed",2025,5,12,0,0,0,23,0.02,978,1
"Pacific Islands","Marshall Islands","WHO","Observed",2025,9,4,0,0,0,43,0.05,119,0.16
"Pacific Islands","Marshall Islands",NA,"Unobserved",2024,11,6,NA,NA,NA,123,0.15,316,0.4
"Pacific Islands","Marshall Islands","WHO","Observed",2025,1,8,0,0,0,185,0.11,693,0.76
"Pacific Islands","Marshall Islands","WHO","Observed",2025,8,3,0,0,0,31,0.04,76,0.11
"Pacific Islands","Marshall Islands","WHO","Observed",2024,4,11,0,0,0,27,0.03,955,0.98
"Pacific Islands","Marshall Islands",NA,"Unobserved",2025,12,7,NA,NA,NA,192,0.25,508,0.65
"Pacific Islands","Marshall Islands","WHO","Observed",2024,6,1,0,0,0,22,0.03,22,0.03
"Pacific Islands","Marshall Islands","WHO","Observed",2024,2,9,0,0,0,148,0.09,841,0.85
"Pacific Islands","Marshall Islands","WHO","Observed",2025,7,2,0,0,0,22,0.03,44,0.07
"Pacific Islands","Marshall Islands",NA,"Unobserved",2024,9,4,NA,NA,NA,43,0.05,119,0.16
"Pacific Islands","Marshall Islands","WHO","Observed",2025,6,1,0,0,0,22,0.03,22,0.03
"Pacific Islands","Marshall Islands","Estimates","Unobserved",2025,11,6,1321,1321,3287,123,0.15,316,0.4
"Pacific Islands","Marshall Islands","WHO","Observed",2025,10,5,0,0,0,74,0.09,193,0.25
"Pacific Islands","Marshall Islands",NA,"Unobserved",2024,12,7,NA,NA,NA,192,0.25,508,0.65
"Pacific Islands","Marshall Islands","WHO","Observed",2024,8,3,0,0,0,31,0.04,76,0.11
"Pacific Islands","Marshall Islands","WHO","Observed",2025,4,11,0,0,0,27,0.03,955,0.98
"Pacific Islands","Marshall Islands","WHO","Observed",2025,2,9,0,0,0,148,0.09,841,0.85
"Pacific Islands","Marshall Islands","WHO","Observed",2025,3,10,0,0,0,87,0.1,928,0.95
"Pacific Islands","Marshall Islands",NA,"Unobserved",2024,10,5,NA,NA,NA,74,0.09,193,0.25
"Pacific Islands","Marshall Islands","WHO","Observed",2024,1,8,0,0,0,185,0.11,693,0.76
"Pacific Islands","Marshall Islands","WHO","Observed",2024,7,2,0,0,0,22,0.03,44,0.07
"East & Southeast Asia","Myanmar","SEARO","Observed",2024,6,5,574,1653,1705,4281,0.23,6377,0.34
"East & Southeast Asia","Myanmar","SEARO","Observed",2025,5,4,699,1393,6725,1680,0.09,2096,0.1
"East & Southeast Asia","Myanmar","SEARO","Observed",2024,4,3,203,768,11796,298,0.01,416,0.02
"East & Southeast Asia","Myanmar","SEARO","Observed",2025,7,6,3065,6202,5258,4561,0.25,10938,0.58
"East & Southeast Asia","Myanmar","SEARO","Observed",2025,6,5,1744,3137,5180,4281,0.23,6377,0.34
"East & Southeast Asia","Myanmar","SEARO","Observed",2025,12,11,NA,NA,0,162,0.01,18436,1
"East & Southeast Asia","Myanmar","SEARO","Observed",2024,12,11,257,6388,257,162,0.01,18436,1
"East & Southeast Asia","Myanmar","SEARO","Observed",2024,9,8,933,5061,1058,2099,0.12,16319,0.88
"East & Southeast Asia","Myanmar","SEARO","Observed",2024,10,9,690,5751,728,1201,0.07,17520,0.95
"East & Southeast Asia","Myanmar","SEARO","Observed",2025,3,2,167,459,35900,113,0,118,0
"East & Southeast Asia","Myanmar","SEARO","Observed",2024,7,6,1236,2889,2120,4561,0.25,10938,0.58
"East & Southeast Asia","Myanmar","SEARO","Observed",2024,2,1,181,389,622212,5,0,5,0
"East & Southeast Asia","Myanmar","SEARO","Observed",2025,9,8,1576,10193,1788,2099,0.12,16319,0.88
"East & Southeast Asia","Myanmar","SEARO","Observed",2025,4,3,235,694,13655,298,0.01,416,0.02
"East & Southeast Asia","Myanmar","SEARO","Observed",2024,8,7,1239,4128,1622,3282,0.18,14220,0.76
"East & Southeast Asia","Myanmar","SEARO","Observed",2025,2,1,120,292,412516,5,0,5,0
"East & Southeast Asia","Myanmar","SEARO","Observed",2024,5,4,311,1079,2992,1680,0.09,2096,0.1
"East & Southeast Asia","Myanmar","SEARO","Observed",2025,11,10,0,11136,0,754,0.04,18274,0.99
"East & Southeast Asia","Myanmar","SEARO","Observed",2025,1,12,172,172,172,21,0,18457,1
"East & Southeast Asia","Myanmar","SEARO","Observed",2025,8,7,2415,8617,3161,3282,0.18,14220,0.76
"East & Southeast Asia","Myanmar","SEARO","Observed",2024,1,12,208,208,208,21,0,18457,1
"East & Southeast Asia","Myanmar","SEARO","Observed",2025,10,9,943,11136,994,1201,0.07,17520,0.95
"East & Southeast Asia","Myanmar","SEARO","Observed",2024,3,2,176,565,37835,113,0,118,0
"East & Southeast Asia","Myanmar","SEARO","Observed",2024,11,10,380,6131,384,754,0.04,18274,0.99
"Caribbean","Martinique","PAHO","Observed",2024,9,5,660,6664,5002,613,0.06,1386,0.13
"Caribbean","Martinique","PAHO","Observed",2024,2,10,1765,3395,2442,231,0.18,3732,0.72
"Caribbean","Martinique","Estimates","Unobserved",2025,11,7,581,2671,2148,707,0.07,2836,0.27
"Caribbean","Martinique","Estimates","Unobserved",2025,10,6,626,2090,3072,743,0.07,2129,0.2
"Caribbean","Martinique","PAHO","Observed",2024,6,2,160,5785,4957,178,0.02,341,0.03
"Caribbean","Martinique","PAHO","Observed",2025,3,11,282,675,304,229,0.21,3961,0.93
"Caribbean","Martinique","PAHO","Observed",2024,4,12,730,5285,730,82,0.07,4043,1
"Caribbean","Martinique","PAHO","Observed",2024,1,9,1630,1630,2990,251,0.19,3501,0.55
"Caribbean","Martinique","PAHO","Observed",2025,5,1,130,905,8732,163,0.01,163,0.01
"Caribbean","Martinique",NA,"Unobserved",2025,12,8,NA,NA,NA,414,0.09,3250,0.36
"Caribbean","Martinique","WHO","Observed",2025,9,5,105,1464,796,613,0.06,1386,0.13
"Caribbean","Martinique","PAHO","Observed",2024,5,1,340,5625,22837,163,0.01,163,0.01
"Caribbean","Martinique","PAHO","Observed",2025,4,12,100,775,100,82,0.07,4043,1
"Caribbean","Martinique","PAHO","Observed",2024,12,8,135,7371,376,414,0.09,3250,0.36
"Caribbean","Martinique","PAHO","Observed",2024,7,3,219,6004,3788,268,0.03,609,0.06
"Caribbean","Martinique","PAHO","Observed",2024,3,11,1160,4555,1249,229,0.21,3961,0.93
"Caribbean","Martinique","Estimates","Unobserved",2025,7,3,223,1218,3857,268,0.03,609,0.06
"Caribbean","Martinique","Estimates","Unobserved",2025,8,4,141,1359,1907,164,0.02,774,0.07
"Caribbean","Martinique","PAHO","Observed",2024,11,7,267,7236,987,707,0.07,2836,0.27
"Caribbean","Martinique","PAHO","Observed",2024,10,6,305,6969,1497,743,0.07,2129,0.2
"Caribbean","Martinique","PAHO","Observed",2025,2,10,100,393,138,231,0.18,3732,0.72
"Caribbean","Martinique","PAHO","Observed",2025,6,2,90,995,2788,178,0.02,341,0.03
"Caribbean","Martinique","PAHO","Observed",2025,1,9,293,293,537,251,0.19,3501,0.55
"Caribbean","Martinique","WHO","Observed",2024,8,4,0,6004,0,164,0.02,774,0.07
"East & Southeast Asia","Malaysia","WHO","Observed",2025,8,6,3338,39616,6918,6169,0.08,35930,0.48
"East & Southeast Asia","Malaysia","WHO","Observed",2024,2,12,13954,32381,13954,6658,0.09,74475,1
"East & Southeast Asia","Malaysia","WHO","Observed",2025,1,11,6676,6676,7327,8725,0.12,67817,0.91
"East & Southeast Asia","Malaysia","WHO","Observed",2025,9,7,2969,42585,5311,5716,0.08,41646,0.56
"East & Southeast Asia","Malaysia","WHO","Observed",2025,6,4,4657,31213,15057,6301,0.08,22588,0.31
"East & Southeast Asia","Malaysia","WHO","Observed",2024,11,9,5699,116949,8018,5617,0.08,52783,0.71
"East & Southeast Asia","Malaysia","WHO","Observed",2025,10,8,4398,46983,6920,5520,0.08,47166,0.64
"East & Southeast Asia","Malaysia","WHO","Observed",2025,4,2,5383,21679,36464,4821,0.07,10664,0.15
"East & Southeast Asia","Malaysia","WHO","Observed",2025,7,5,5065,36278,12563,7173,0.09,29761,0.4
"East & Southeast Asia","Malaysia","WHO","Observed",2024,5,3,11742,64629,52187,5623,0.08,16287,0.22
"East & Southeast Asia","Malaysia","WHO","Observed",2025,3,1,4571,16296,58088,5843,0.08,5843,0.08
"East & Southeast Asia","Malaysia","WHO","Observed",2025,5,3,4877,26556,21676,5623,0.08,16287,0.22
"East & Southeast Asia","Malaysia","WHO","Observed",2024,8,6,8317,96572,17238,6169,0.08,35930,0.48
"East & Southeast Asia","Malaysia","WHO","Observed",2024,4,2,8743,52887,59225,4821,0.07,10664,0.15
"East & Southeast Asia","Malaysia","WHO","Observed",2024,10,8,7740,111250,12178,5520,0.08,47166,0.64
"East & Southeast Asia","Malaysia","WHO","Observed",2025,2,12,5049,11725,5049,6658,0.09,74475,1
"East & Southeast Asia","Malaysia",NA,"Unobserved",2025,12,10,NA,NA,NA,6309,0.09,59092,0.8
"East & Southeast Asia","Malaysia","WHO","Observed",2024,1,11,18427,18427,20224,8725,0.12,67817,0.91
"East & Southeast Asia","Malaysia","WHO","Observed",2024,9,7,6938,103510,12411,5716,0.08,41646,0.56
"East & Southeast Asia","Malaysia","WHO","Observed",2024,3,1,11763,44144,149483,5843,0.08,5843,0.08
"East & Southeast Asia","Malaysia","WHO","Observed",2024,6,4,10634,75263,34382,6301,0.08,22588,0.31
"East & Southeast Asia","Malaysia","WHO","Observed",2024,12,10,5474,122423,6878,6309,0.09,59092,0.8
"East & Southeast Asia","Malaysia","Estimates","Unobserved",2025,11,9,656,47639,923,5617,0.08,52783,0.71
"East & Southeast Asia","Malaysia","WHO","Observed",2024,7,5,12992,88255,32224,7173,0.09,29761,0.4
"Pacific Islands","New Caledonia",NA,"Unobserved",2024,11,4,NA,NA,NA,51,0.06,145,0.24
"Pacific Islands","New Caledonia","Estimates","Unobserved",2025,11,4,547,552,2251,51,0.06,145,0.24
"Pacific Islands","New Caledonia","WHO","Observed",2024,3,8,7,15,11,571,0.14,1394,0.64
"Pacific Islands","New Caledonia","WHO","Observed",2025,9,2,2,5,15,35,0.07,64,0.13
"Pacific Islands","New Caledonia","WHO","Observed",2024,5,10,0,16,0,284,0.14,2125,0.91
"Pacific Islands","New Caledonia",NA,"Unobserved",2024,9,2,NA,NA,NA,35,0.07,64,0.13
"Pacific Islands","New Caledonia",NA,"Unobserved",2024,7,12,NA,NA,NA,45,0.03,2291,1
"Pacific Islands","New Caledonia","WHO","Observed",2025,5,10,1,3,1,284,0.14,2125,0.91
"Pacific Islands","New Caledonia","WHO","Observed",2025,1,6,0,0,0,214,0.07,434,0.39
"Pacific Islands","New Caledonia",NA,"Unobserved",2025,12,5,NA,NA,NA,74,0.07,219,0.32
"Pacific Islands","New Caledonia","WHO","Observed",2025,10,3,0,5,0,30,0.05,94,0.18
"Pacific Islands","New Caledonia","WHO","Observed",2024,1,6,2,2,5,214,0.07,434,0.39
"Pacific Islands","New Caledonia","WHO","Observed",2024,4,9,1,16,1,446,0.13,1840,0.77
"Pacific Islands","New Caledonia","WHO","Observed",2025,4,9,2,2,3,446,0.13,1840,0.77
"Pacific Islands","New Caledonia","WHO","Observed",2025,3,8,0,0,0,571,0.14,1394,0.64
"Pacific Islands","New Caledonia",NA,"Unobserved",2024,8,1,NA,NA,NA,28,0.07,28,0.07
"Pacific Islands","New Caledonia","WHO","Observed",2025,6,11,0,3,0,121,0.06,2245,0.97
"Pacific Islands","New Caledonia","WHO","Observed",2024,2,7,6,8,12,390,0.11,823,0.5
"Pacific Islands","New Caledonia","WHO","Observed",2024,6,11,0,16,0,121,0.06,2245,0.97
"Pacific Islands","New Caledonia","WHO","Observed",2025,8,1,0,3,0,28,0.07,28,0.07
"Pacific Islands","New Caledonia",NA,"Unobserved",2024,10,3,NA,NA,NA,30,0.05,94,0.18
"Pacific Islands","New Caledonia","WHO","Observed",2025,2,7,0,0,0,390,0.11,823,0.5
"Pacific Islands","New Caledonia","WHO","Observed",2025,7,12,0,3,0,45,0.03,2291,1
"Pacific Islands","New Caledonia",NA,"Unobserved",2024,12,5,NA,NA,NA,74,0.07,219,0.32
"North & Central America","Nicaragua",NA,"Unobserved",2025,12,11,NA,NA,NA,1171,0.05,21234,0.94
"North & Central America","Nicaragua","Estimates","Unobserved",2025,5,4,528,7149,3180,1337,0.06,3594,0.17
"North & Central America","Nicaragua","Estimates","Unobserved",2025,7,6,668,8470,2104,1665,0.08,6971,0.32
"North & Central America","Nicaragua","PAHO","Observed",2024,9,8,10999,67067,19446,3424,0.14,12880,0.57
"North & Central America","Nicaragua","PAHO","Observed",2024,12,11,6748,92022,7161,1171,0.05,21234,0.94
"North & Central America","Nicaragua","PAHO","Observed",2024,4,3,4832,25132,45811,733,0.03,2257,0.11
"North & Central America","Nicaragua","Estimates","Unobserved",2025,9,8,1225,10632,2166,3424,0.14,12880,0.57
"North & Central America","Nicaragua","PAHO","Observed",2024,1,12,9530,9530,9530,1379,0.06,22612,1
"North & Central America","Nicaragua","Estimates","Unobserved",2025,8,7,937,9407,2204,2485,0.11,9456,0.43
"North & Central America","Nicaragua","Estimates","Unobserved",2025,2,1,360,6062,8706,877,0.04,877,0.04
"North & Central America","Nicaragua","PAHO","Observed",2024,2,1,6598,16128,159566,877,0.04,877,0.04
"North & Central America","Nicaragua","PAHO","Observed",2024,11,10,8261,85274,9217,2338,0.11,20062,0.9
"North & Central America","Nicaragua","Estimates","Unobserved",2025,3,2,273,6335,3756,646,0.03,1523,0.07
"North & Central America","Nicaragua","Estimates","Unobserved",2025,11,10,916,13515,1022,2338,0.11,20062,0.9
"North & Central America","Nicaragua","PAHO","Observed",2024,10,9,9946,77013,12571,4844,0.23,17724,0.79
"North & Central America","Nicaragua","PAHO","Observed",2025,1,12,5702,5702,5702,1379,0.06,22612,1
"North & Central America","Nicaragua","Estimates","Unobserved",2025,4,3,286,6621,2711,733,0.03,2257,0.11
"North & Central America","Nicaragua","PAHO","Observed",2024,6,5,7818,37793,32452,1711,0.07,5305,0.24
"North & Central America","Nicaragua","PAHO","Observed",2024,8,7,8335,56068,19608,2485,0.11,9456,0.43
"North & Central America","Nicaragua","PAHO","Observed",2024,7,6,9940,47733,31304,1665,0.08,6971,0.32
"North & Central America","Nicaragua","Estimates","Unobserved",2025,10,9,1967,12599,2486,4844,0.23,17724,0.79
"North & Central America","Nicaragua","PAHO","Observed",2024,3,2,4172,20300,57399,646,0.03,1523,0.07
"North & Central America","Nicaragua","Estimates","Unobserved",2025,6,5,653,7802,2711,1711,0.07,5305,0.24
"North & Central America","Nicaragua","PAHO","Observed",2024,5,4,4843,29975,29170,1337,0.06,3594,0.17
"South Asia","Nepal","SEARO","Observed",2025,5,3,314,1300,6366,100,0.02,165,0.05
"South Asia","Nepal","SEARO","Observed",2024,11,9,5544,41021,6581,152,0.11,1539,0.84
"South Asia","Nepal","SEARO","Observed",2024,5,3,495,2239,10035,100,0.02,165,0.05
"South Asia","Nepal","SEARO","Observed",2024,2,12,408,907,408,6,0.04,1608,1
"South Asia","Nepal","SEARO","Observed",2024,4,2,463,1744,16970,27,0.02,65,0.03
"South Asia","Nepal","SEARO","Observed",2024,1,11,499,499,517,11,0.08,1602,0.96
"South Asia","Nepal","SEARO","Observed",2025,1,11,259,259,268,11,0.08,1602,0.96
"South Asia","Nepal","SEARO","Observed",2024,3,1,374,1281,30737,38,0.01,38,0.01
"South Asia","Nepal","SEARO","Observed",2025,6,4,530,1830,7095,70,0.03,234,0.07
"South Asia","Nepal","SEARO","Observed",2025,10,8,1644,7077,2251,288,0.21,1388,0.73
"South Asia","Nepal","SEARO","Observed",2025,8,6,1190,3850,4136,323,0.14,729,0.29
"South Asia","Nepal","SEARO","Observed",2025,7,5,830,2660,5720,171,0.07,406,0.15
"South Asia","Nepal","SEARO","Observed",2024,12,10,844,41865,955,52,0.04,1591,0.88
"South Asia","Nepal","SEARO","Observed",2024,6,4,632,2871,8460,70,0.03,234,0.07
"South Asia","Nepal","SEARO","Observed",2024,10,8,12332,35477,16887,288,0.21,1388,0.73
"South Asia","Nepal","SEARO","Observed",2024,8,6,6493,11270,22566,323,0.14,729,0.29
"South Asia","Nepal","SEARO","Observed",2024,9,7,11875,23145,22713,371,0.24,1100,0.52
"South Asia","Nepal","SEARO","Observed",2025,11,9,0,7077,0,152,0.11,1539,0.84
"South Asia","Nepal","SEARO","Observed",2024,7,5,1906,4777,13135,171,0.07,406,0.15
"South Asia","Nepal","SEARO","Observed",2025,9,7,1583,5433,3028,371,0.24,1100,0.52
"South Asia","Nepal","SEARO","Observed",2025,12,10,NA,NA,0,52,0.04,1591,0.88
"South Asia","Nepal","SEARO","Observed",2025,2,12,252,511,252,6,0.04,1608,1
"South Asia","Nepal","SEARO","Observed",2025,4,2,221,986,8100,27,0.02,65,0.03
"South Asia","Nepal","SEARO","Observed",2025,3,1,254,765,20875,38,0.01,38,0.01
"Europe, Middle East & North Africa","Oman",NA,"Unobserved",NA,1,10,NA,NA,NA,42,0.09,506,0.79
"Europe, Middle East & North Africa","Oman",NA,"Unobserved",NA,8,5,NA,NA,NA,8,0.02,278,0.36
"Europe, Middle East & North Africa","Oman",NA,"Unobserved",NA,6,3,NA,NA,NA,34,0.08,244,0.24
"Europe, Middle East & North Africa","Oman",NA,"Unobserved",NA,10,7,NA,NA,NA,47,0.06,352,0.46
"Europe, Middle East & North Africa","Oman",NA,"Unobserved",NA,9,6,NA,NA,NA,27,0.04,305,0.4
"Europe, Middle East & North Africa","Oman",NA,"Unobserved",NA,7,4,NA,NA,NA,26,0.1,270,0.33
"Europe, Middle East & North Africa","Oman",NA,"Unobserved",NA,4,1,NA,NA,NA,125,0.06,125,0.06
"Europe, Middle East & North Africa","Oman",NA,"Unobserved",NA,5,2,NA,NA,NA,85,0.1,210,0.16
"Europe, Middle East & North Africa","Oman",NA,"Unobserved",NA,2,11,NA,NA,NA,21,0.03,527,0.82
"Europe, Middle East & North Africa","Oman",NA,"Unobserved",NA,11,8,NA,NA,NA,60,0.1,413,0.56
"Europe, Middle East & North Africa","Oman",NA,"Unobserved",NA,3,12,NA,NA,NA,65,0.18,592,1
"Europe, Middle East & North Africa","Oman",NA,"Unobserved",NA,12,9,NA,NA,NA,52,0.15,464,0.71
"South Asia","Pakistan",NA,"Unobserved",2025,12,11,NA,NA,NA,1688,0.03,51074,0.97
"South Asia","Pakistan","WHO","Observed",2025,9,8,3275,13701,5396,16236,0.31,31672,0.61
"South Asia","Pakistan","WHO","Observed",2025,2,1,2496,6239,175746,595,0.01,595,0.01
"South Asia","Pakistan","WHO","Observed",2025,7,6,1029,9411,4749,1919,0.04,10874,0.22
"South Asia","Pakistan","WHO","Observed",2024,2,1,374,716,26334,595,0.01,595,0.01
"South Asia","Pakistan","WHO","Observed",2024,7,6,2904,15652,13402,1919,0.04,10874,0.22
"South Asia","Pakistan","WHO","Observed",2024,1,12,342,342,342,1029,0.03,52102,1
"South Asia","Pakistan","WHO","Observed",2024,8,7,5710,21362,18953,4562,0.08,15436,0.3
"South Asia","Pakistan","WHO","Observed",2024,12,11,4929,58670,5095,1688,0.03,51074,0.97
"South Asia","Pakistan","WHO","Observed",2024,9,8,9671,31033,15933,16236,0.31,31672,0.61
"South Asia","Pakistan","WHO","Observed",2024,11,10,7661,53741,8185,5425,0.1,49386,0.94
"South Asia","Pakistan","WHO","Observed",2025,4,3,431,7285,8879,1032,0.02,2227,0.05
"South Asia","Pakistan","WHO","Observed",2024,4,3,823,1821,16955,1032,0.02,2227,0.05
"South Asia","Pakistan","WHO","Observed",2024,10,9,15047,46080,17998,12288,0.23,43960,0.84
"South Asia","Pakistan","WHO","Observed",2025,1,12,3743,3743,3743,1029,0.03,52102,1
"South Asia","Pakistan","WHO","Observed",2024,3,2,282,998,10204,599,0.01,1194,0.03
"South Asia","Pakistan","WHO","Observed",2025,5,4,499,7784,3954,3899,0.08,6125,0.13
"South Asia","Pakistan","WHO","Observed",2025,3,2,615,6854,22253,599,0.01,1194,0.03
"South Asia","Pakistan","WHO","Observed",2025,8,7,1015,10426,3369,4562,0.08,15436,0.3
"South Asia","Pakistan","WHO","Observed",2025,10,9,5753,19454,6881,12288,0.23,43960,0.84
"South Asia","Pakistan","WHO","Observed",2024,6,5,3252,12748,17981,2830,0.05,8955,0.18
