iso3,origin_date,horizon,target_date,.pred,.pred_lower50,.pred_upper50,.pred_lower90,.pred_upper90
CUB,2026-07-01,3,2026-10-01,2770,554,3817,58,9250
CUB,2026-07-01,4,2026-11-01,2790,558,3844,58,9316
CUB,2026-07-01,5,2026-12-01,2805,561,3865,59,9367
CUB,2026-07-01,6,2027-01-01,2817,564,3881,59,9405
CUW,2026-07-01,1,2026-08-01,NA,NA,NA,NA,NA
CUW,2026-07-01,2,2026-09-01,NA,NA,NA,NA,NA
CUW,2026-07-01,3,2026-10-01,NA,NA,NA,NA,NA
CUW,2026-07-01,4,2026-11-01,NA,NA,NA,NA,NA
CUW,2026-07-01,5,2026-12-01,NA,NA,NA,NA,NA
CUW,2026-07-01,6,2027-01-01,NA,NA,NA,NA,NA
CYM,2026-07-01,1,2026-08-01,7,1,10,0,24
CYM,2026-07-01,2,2026-09-01,34,7,47,0,115
CYM,2026-07-01,3,2026-10-01,104,21,143,2,348
CYM,2026-07-01,4,2026-11-01,236,47,326,5,790
CYM,2026-07-01,5,2026-12-01,438,87,603,9,1463
CYM,2026-07-01,6,2027-01-01,695,139,958,14,2323
DMA,2026-07-01,1,2026-08-01,NA,NA,NA,NA,NA
DMA,2026-07-01,2,2026-09-01,NA,NA,NA,NA,NA
DMA,2026-07-01,3,2026-10-01,NA,NA,NA,NA,NA
DMA,2026-07-01,4,2026-11-01,NA,NA,NA,NA,NA
DMA,2026-07-01,5,2026-12-01,NA,NA,NA,NA,NA
DMA,2026-07-01,6,2027-01-01,NA,NA,NA,NA,NA
DOM,2026-07-01,1,2026-08-01,296,59,407,6,987
DOM,2026-07-01,2,2026-09-01,518,103,713,11,1729
DOM,2026-07-01,3,2026-10-01,789,158,1087,16,2634
DOM,2026-07-01,4,2026-11-01,1083,217,1492,22,3616
DOM,2026-07-01,5,2026-12-01,1375,275,1895,29,4592
DOM,2026-07-01,6,2027-01-01,1646,329,2268,34,5496
ECU,2026-07-01,1,2026-08-01,2703,541,3724,56,9025
ECU,2026-07-01,2,2026-09-01,2739,548,3774,57,9145
ECU,2026-07-01,3,2026-10-01,2766,553,3811,58,9237
ECU,2026-07-01,4,2026-11-01,2787,558,3840,58,9306
ECU,2026-07-01,5,2026-12-01,2803,561,3862,59,9359
ECU,2026-07-01,6,2027-01-01,2815,563,3878,59,9399
ERI,2026-07-01,1,2026-08-01,437,87,602,9,1460
ERI,2026-07-01,2,2026-09-01,695,139,957,14,2320
ERI,2026-07-01,3,2026-10-01,984,197,1356,20,3287
ERI,2026-07-01,4,2026-11-01,1279,256,1763,27,4273
ERI,2026-07-01,5,2026-12-01,1559,312,2148,32,5206
ERI,2026-07-01,6,2027-01-01,1809,362,2493,38,6042
ETH,2026-07-01,1,2026-08-01,198,39,273,4,663
ETH,2026-07-01,2,2026-09-01,383,76,528,8,1281
ETH,2026-07-01,3,2026-10-01,629,126,867,13,2102
ETH,2026-07-01,4,2026-11-01,914,183,1259,19,3052
ETH,2026-07-01,5,2026-12-01,1210,242,1667,25,4041
ETH,2026-07-01,6,2027-01-01,1495,299,2060,31,4992
FJI,2026-07-01,1,2026-08-01,604,121,832,12,2018
FJI,2026-07-01,2,2026-09-01,886,177,1221,18,2959
FJI,2026-07-01,3,2026-10-01,1182,236,1629,24,3947
FJI,2026-07-01,4,2026-11-01,1469,294,2024,30,4905
FJI,2026-07-01,5,2026-12-01,1730,346,2383,36,5776
FJI,2026-07-01,6,2027-01-01,1957,391,2696,41,6534
FSM,2026-07-01,1,2026-08-01,12,2,17,0,41
FSM,2026-07-01,2,2026-09-01,49,9,67,1,164
FSM,2026-07-01,3,2026-10-01,135,27,186,2,451
FSM,2026-07-01,4,2026-11-01,287,57,396,6,961
FSM,2026-07-01,5,2026-12-01,507,101,699,10,1693
FSM,2026-07-01,6,2027-01-01,776,155,1070,16,2593
GLP,2026-07-01,1,2026-08-01,87,17,121,1,293
GLP,2026-07-01,2,2026-09-01,208,41,286,4,695
GLP,2026-07-01,3,2026-10-01,397,79,547,8,1327
GLP,2026-07-01,4,2026-11-01,646,129,891,13,2159
GLP,2026-07-01,5,2026-12-01,932,186,1285,19,3114
GLP,2026-07-01,6,2027-01-01,1228,246,1692,25,4102
GRD,2026-07-01,1,2026-08-01,20,4,28,0,68
GRD,2026-07-01,2,2026-09-01,71,14,98,1,237
GRD,2026-07-01,3,2026-10-01,177,35,245,3,593
GRD,2026-07-01,4,2026-11-01,353,70,486,7,1179
GRD,2026-07-01,5,2026-12-01,591,118,815,12,1976
GRD,2026-07-01,6,2027-01-01,872,174,1202,18,2912
GTM,2026-07-01,1,2026-08-01,4900,981,6752,103,16362
GTM,2026-07-01,2,2026-09-01,4288,858,5909,90,14319
GTM,2026-07-01,3,2026-10-01,3878,776,5343,81,12950
GTM,2026-07-01,4,2026-11-01,3595,719,4954,75,12005
GTM,2026-07-01,5,2026-12-01,3396,680,4679,71,11339
GTM,2026-07-01,6,2027-01-01,3253,651,4482,68,10861
GUF,2026-07-01,1,2026-08-01,27,5,38,0,92
GUF,2026-07-01,2,2026-09-01,88,17,122,1,295
GUF,2026-07-01,3,2026-10-01,209,42,288,4,699
GUF,2026-07-01,4,2026-11-01,399,80,550,8,1334
GUF,2026-07-01,5,2026-12-01,649,130,894,13,2168
GUF,2026-07-01,6,2027-01-01,935,187,1288,19,3123
GUY,2026-07-01,1,2026-08-01,7574,1516,10436,159,25290
GUY,2026-07-01,2,2026-09-01,5954,1192,8204,125,19881
GUY,2026-07-01,3,2026-10-01,4967,994,6843,104,16584
GUY,2026-07-01,4,2026-11-01,4332,867,5969,91,14465
GUY,2026-07-01,5,2026-12-01,3908,782,5385,82,13049
GUY,2026-07-01,6,2027-01-01,3616,724,4982,76,12074
HND,2026-07-01,1,2026-08-01,2182,437,3006,45,7286
HND,2026-07-01,2,2026-09-01,2331,466,3211,49,7783
HND,2026-07-01,3,2026-10-01,2450,490,3375,51,8179
HND,2026-07-01,4,2026-11-01,2543,509,3504,53,8492
HND,2026-07-01,5,2026-12-01,2616,523,3604,55,8735
HND,2026-07-01,6,2027-01-01,2672,535,3682,56,8922
HTI,2026-07-01,1,2026-08-01,NA,NA,NA,NA,NA
HTI,2026-07-01,2,2026-09-01,NA,NA,NA,NA,NA
HTI,2026-07-01,3,2026-10-01,NA,NA,NA,NA,NA
HTI,2026-07-01,4,2026-11-01,NA,NA,NA,NA,NA
HTI,2026-07-01,5,2026-12-01,NA,NA,NA,NA,NA
HTI,2026-07-01,6,2027-01-01,NA,NA,NA,NA,NA
IDN,2026-07-01,1,2026-08-01,NA,NA,NA,NA,NA
IDN,2026-07-01,2,2026-09-01,NA,NA,NA,NA,NA
IDN,2026-07-01,3,2026-10-01,NA,NA,NA,NA,NA
IDN,2026-07-01,4,2026-11-01,NA,NA,NA,NA,NA
IDN,2026-07-01,5,2026-12-01,NA,NA,NA,NA,NA
IDN,2026-07-01,6,2027-01-01,NA,NA,NA,NA,NA
IND,2026-07-01,1,2026-08-01,7243,1450,9979,152,24183
IND,2026-07-01,2,2026-09-01,5757,1152,7932,121,19222
IND,2026-07-01,3,2026-10-01,4842,969,6671,101,16167
IND,2026-07-01,4,2026-11-01,4250,851,5856,89,14190
IND,2026-07-01,5,2026-12-01,3852,771,5307,81,12862
IND,2026-07-01,6,2027-01-01,3577,716,4928,75,11943
JAM,2026-07-01,1,2026-08-01,116,23,161,2,390
JAM,2026-07-01,2,2026-09-01,257,51,355,5,861
JAM,2026-07-01,3,2026-10-01,467,93,643,9,1559
JAM,2026-07-01,4,2026-11-01,730,146,1005,15,2437
JAM,2026-07-01,5,2026-12-01,1021,204,1407,21,3411
JAM,2026-07-01,6,2027-01-01,1316,263,1813,27,4393
KEN,2026-07-01,1,2026-08-01,992,198,1367,20,3313
KEN,2026-07-01,2,2026-09-01,1287,257,1774,27,4298
KEN,2026-07-01,3,2026-10-01,1566,313,2158,33,5230
KEN,2026-07-01,4,2026-11-01,1815,363,2501,38,6062
KEN,2026-07-01,5,2026-12-01,2029,406,2796,42,6776
KEN,2026-07-01,6,2027-01-01,2207,441,3040,46,7369
KHM,2026-07-01,1,2026-08-01,8381,1678,11547,176,27984
KHM,2026-07-01,2,2026-09-01,6427,1286,8854,135,21457
KHM,2026-07-01,3,2026-10-01,5261,1053,7248,110,17565
KHM,2026-07-01,4,2026-11-01,4524,905,6233,95,15106
KHM,2026-07-01,5,2026-12-01,4038,808,5563,84,13482
KHM,2026-07-01,6,2027-01-01,3706,742,5106,78,12375
KIR,2026-07-01,1,2026-08-01,211,42,290,4,704
KIR,2026-07-01,2,2026-09-01,401,80,553,8,1341
KIR,2026-07-01,3,2026-10-01,651,130,898,13,2176
KIR,2026-07-01,4,2026-11-01,938,187,1292,19,3132
KIR,2026-07-01,5,2026-12-01,1234,247,1700,26,4120
KIR,2026-07-01,6,2027-01-01,1517,303,2090,32,5065
KNA,2026-07-01,1,2026-08-01,7,1,10,0,24
KNA,2026-07-01,2,2026-09-01,34,7,47,0,115
KNA,2026-07-01,3,2026-10-01,104,21,143,2,348
KNA,2026-07-01,4,2026-11-01,236,47,326,5,790
KNA,2026-07-01,5,2026-12-01,438,87,603,9,1463
KNA,2026-07-01,6,2027-01-01,695,139,958,14,2323
LAO,2026-07-01,1,2026-08-01,2510,502,3458,52,8380
LAO,2026-07-01,2,2026-09-01,2590,518,3568,54,8648
LAO,2026-07-01,3,2026-10-01,2652,531,3654,55,8856
LAO,2026-07-01,4,2026-11-01,2700,540,3720,56,9015
LAO,2026-07-01,5,2026-12-01,2737,548,3771,57,9138
LAO,2026-07-01,6,2027-01-01,2765,553,3809,58,9231
LCA,2026-07-01,1,2026-08-01,16,3,22,0,55
LCA,2026-07-01,2,2026-09-01,61,12,84,1,203
LCA,2026-07-01,3,2026-10-01,158,31,218,3,529
LCA,2026-07-01,4,2026-11-01,324,65,446,6,1082
LCA,2026-07-01,5,2026-12-01,554,111,764,11,1852
LCA,2026-07-01,6,2027-01-01,831,166,1144,17,2774
LKA,2026-07-01,1,2026-08-01,5522,1105,7609,116,18439
LKA,2026-07-01,2,2026-09-01,4693,939,6465,98,15668
LKA,2026-07-01,3,2026-10-01,4151,831,5719,87,13859
LKA,2026-07-01,4,2026-11-01,3784,757,5214,79,12635
LKA,2026-07-01,5,2026-12-01,3529,706,4863,74,11784
LKA,2026-07-01,6,2027-01-01,3349,670,4614,70,11181
MAF,2026-07-01,1,2026-08-01,20,4,28,0,68
MAF,2026-07-01,2,2026-09-01,71,14,98,1,237
MAF,2026-07-01,3,2026-10-01,177,35,245,3,593
MAF,2026-07-01,4,2026-11-01,353,70,486,7,1179
MAF,2026-07-01,5,2026-12-01,591,118,815,12,1976
MAF,2026-07-01,6,2027-01-01,872,174,1202,18,2912
MDV,2026-07-01,1,2026-08-01,649,130,894,13,2166
MDV,2026-07-01,2,2026-09-01,935,187,1288,19,3121
MDV,2026-07-01,3,2026-10-01,1231,246,1696,25,4110
MDV,2026-07-01,4,2026-11-01,1514,303,2086,31,5056
MDV,2026-07-01,5,2026-12-01,1770,354,2438,37,5910
MDV,2026-07-01,6,2027-01-01,1991,398,2743,41,6647
