"","country","iso3","Month","season_nMonth","nb_size","nb_mean","Ave_season_monthly_cases","Ave_season_monthly_cum_cases","Ave_cum_monthly_proportion","Ave_monthly_proportion","date","Year","cases","source","Data_status","Predicted_total_seasonal_cases","cum_todate_cases_calendar","cum_todate_cases_season","Data_process","percentile_most_recent","Country","Region"
"356","Panama","PAN",4,4,1.21844093081061,863.727272727273,863.727272727273,2474.27272727273,0.275733557207515,0.0902098149849468,2024-04-01,2024,1032,"PAHO","Observed",3743,5692,10876,"Observed",99.1671931007076,"Panama","Latin America & Caribbean"
"357","Puerto Rico","PRI",4,4,0.799086770860662,430.125,430.125,1789,0.244997166692324,0.0603611218056616,2024-04-01,2024,341,"PAHO","Observed",1392,1073,2453,"Observed",94.9578767454176,"Puerto Rico","Latin America & Caribbean"
"358","Suriname","SUR",4,4,1.65672844378102,23.8,23.8,108.8,0.318707741900931,0.0641462759133001,2024-04-01,2024,11,"PAHO","Observed",35,93,105,"Observed",78.4814326618703,"Suriname","Latin America & Caribbean"
"359","Marshall Islands","MHL",5,4,0.762013288310805,209.666666666667,209.666666666667,317.666666666667,0.12528059066967,0.0855079804865053,2024-05-01,2024,0,"WHO","Observed",0,0,0,"Observed",1.37980293121142,"Marshall Islands","East Asia & Pacific"
"360","Martinique","MTQ",5,4,0.201024908353669,149.6,149.6,712.4,0.153464558639787,0.00999977822267429,2024-05-01,2024,340,"PAHO","Observed",2215,5625,4477,"Observed",99.6157549483945,"Martinique","Latin America & Caribbean"
"361","Senegal","SEN",5,4,3.54011941898797,3.25,3.25,9.25,0.068180005799623,0.0239716996520226,2024-05-01,2024,12,"WHO","Observed",176,181,483,"Observed",100,"Senegal","Sub-Saharan Africa"
"362","Eritrea","ERI",6,4,2.98690957084607,931.800000000001,931.8,2794.8,0.267121095201499,0.0889052726588962,2024-06-01,2024,734,"WHO","Observed",2748,8506,3785,"Observed",99.2823375034534,"Eritrea","Sub-Saharan Africa"
"363","Aruba","ABW",7,4,1.31953337784693,77.9999999999999,78,482.25,0.225860170814376,0.0453636750210492,2024-07-01,2024,24,"WHO","Observed",106,81,73,"Observed",74.5627260875471,"Aruba","Latin America & Caribbean"
"364","Cuba","CUB",8,4,0.359255638758342,191.25,191.25,929.625,0.260915554391709,0.0406678898040197,2024-08-01,2024,1143,"PAHO","Unobserved",4381,5825,7596,"Estimates",99.997377420175,"Cuba","Latin America & Caribbean"
"365","Paraguay","PRY",8,4,1.30123229299521,3588.00000000002,3588,9433.33333333333,0.22009365492305,0.0808251532119367,2024-08-01,2024,1345,"PAHO","Observed",6111,284648,30395,"Observed",82.8696810966338,"Paraguay","Latin America & Caribbean"
"366","Argentina","ARG",9,4,1.09361054625563,58.3333333333333,58.3333333333333,114.333333333333,0.0535171100780005,0.0263302788208862,2024-09-01,2024,31,"PAHO","Observed",579,581341,5943,"Observed",99.9972356577214,"Argentina","Latin America & Caribbean"
"367","Australia","AUS",9,4,2904166.49385141,85.7692307692309,85.7692307692308,312.846153846154,0.252963660062851,0.0669032043396925,2024-09-01,2024,134,"WHO","Observed",530,1868,1132,"Observed",100,"Australia","East Asia & Pacific"
"368","Bolivia","BOL",9,4,1.58925465709076,2774.54545454546,2774.54545454545,6116.90909090909,0.123921385324735,0.0536561384399368,2024-09-01,2024,1639,"PAHO","Observed",13226,51455,12978,"Observed",99.7962098020649,"Bolivia","Latin America & Caribbean"
"369","French Guiana","GUF",9,4,0.268806168358034,163.375,163.375,483.125,0.221555777629987,0.0762348681534698,2024-09-01,2024,2759,"PAHO","Unobserved",12453,18900,4294,"Estimates",99.9999999959354,"French Guiana","Latin America & Caribbean"
"370","Timor-Leste","TLS",9,4,0.306935762614608,48.5,48.5,96.2142857142857,0.0753145900158949,0.0371671072812017,2024-09-01,2024,28,"SEARO","Observed",372,1399,338,"Observed",98.5320508725005,"Timor-Leste","East Asia & Pacific"
"371","Indonesia","IDN",10,4,3.32804246250493,14325,14325,34863.6428571429,0.306422119189518,0.126259093316726,2024-10-01,2024,10970,"SEARO","Observed",35800,231084,55872,"Observed",98.3742579379671,"Indonesia","East Asia & Pacific"
