date,country,iso3,cases,Year,Month,Month.Year
2024-02-01,Croatia,HRV,0,2024,2,2-2024
2024-02-01,Cyprus,CYP,0,2024,2,2-2024
2024-02-01,Czechia,CZE,0,2024,2,2-2024
2024-02-01,Denmark,DNK,0,2024,2,2-2024
2024-02-01,Estonia,EST,0,2024,2,2-2024
2024-02-01,Finland,FIN,0,2024,2,2-2024
2024-02-01,France,FRA,0,2024,2,2-2024
2024-02-01,Georgia,GEO,0,2024,2,2-2024
2024-02-01,Germany,DEU,0,2024,2,2-2024
2024-02-01,Greece,GRC,0,2024,2,2-2024
2024-02-01,Holy See,VAT,0,2024,2,2-2024
2024-02-01,Hungary,HUN,0,2024,2,2-2024
2024-02-01,Iceland,ISL,0,2024,2,2-2024
2024-02-01,Ireland,IRL,0,2024,2,2-2024
2024-02-01,Israel,ISR,0,2024,2,2-2024
2024-02-01,Italy,ITA,0,2024,2,2-2024
2024-02-01,Kazakhstan,KAZ,0,2024,2,2-2024
2024-02-01,Kyrgyzstan,KGZ,0,2024,2,2-2024
2024-02-01,Latvia,LVA,0,2024,2,2-2024
2024-02-01,Liechtenstein,LIE,0,2024,2,2-2024
2024-02-01,Lithuania,LTU,0,2024,2,2-2024
2024-02-01,Luxembourg,LUX,0,2024,2,2-2024
2024-02-01,Malta,MLT,0,2024,2,2-2024
2024-02-01,Mayotte,MYT,0,2024,2,2-2024
2024-02-01,Monaco,MCO,0,2024,2,2-2024
2024-02-01,Montenegro,MNE,0,2024,2,2-2024
2024-02-01,Netherlands (Kingdom of the),NLD,0,2024,2,2-2024
2024-02-01,North Macedonia,MKD,0,2024,2,2-2024
2024-02-01,Norway,NOR,0,2024,2,2-2024
2024-02-01,Poland,POL,0,2024,2,2-2024
2024-02-01,Portugal,PRT,0,2024,2,2-2024
2024-02-01,Republic of Moldova,MDA,0,2024,2,2-2024
2024-02-01,Romania,ROU,0,2024,2,2-2024
2024-02-01,Russian Federation,RUS,0,2024,2,2-2024
2024-02-01,Réunion,REU,18,2024,2,2-2024
2024-02-01,San Marino,SMR,0,2024,2,2-2024
2024-02-01,Serbia,SRB,0,2024,2,2-2024
2024-02-01,Slovakia,SVK,0,2024,2,2-2024
2024-02-01,Slovenia,SVN,0,2024,2,2-2024
2024-02-01,Spain,ESP,0,2024,2,2-2024
2024-02-01,Sweden,SWE,0,2024,2,2-2024
2024-02-01,Switzerland,CHE,0,2024,2,2-2024
2024-02-01,Tajikistan,TJK,0,2024,2,2-2024
2024-02-01,Turkmenistan,TKM,0,2024,2,2-2024
2024-02-01,Türkiye,TUR,0,2024,2,2-2024
2024-02-01,Ukraine,UKR,0,2024,2,2-2024
2024-02-01,United Kingdom of Great Britain and Northern Ireland,GBR,0,2024,2,2-2024
2024-02-01,Uzbekistan,UZB,0,2024,2,2-2024
2024-03-01,Angola,AGO,0,2024,3,3-2024
2024-03-01,Benin,BEN,0,2024,3,3-2024
2024-03-01,Burkina Faso,BFA,2898,2024,3,3-2024
2024-03-01,Burundi,BDI,0,2024,3,3-2024
2024-03-01,Cabo Verde,CPV,120,2024,3,3-2024
2024-03-01,Cameroon,CMR,0,2024,3,3-2024
2024-03-01,Central African Republic,CAF,0,2024,3,3-2024
2024-03-01,Chad,TCD,0,2024,3,3-2024
2024-03-01,Congo,COG,0,2024,3,3-2024
2024-03-01,Côte d'Ivoire,CIV,42,2024,3,3-2024
2024-03-01,Eritrea,ERI,1463,2024,3,3-2024
2024-03-01,Ethiopia,ETH,150,2024,3,3-2024
2024-03-01,Gabon,GAB,0,2024,3,3-2024
2024-03-01,Gambia,GMB,0,2024,3,3-2024
2024-03-01,Ghana,GHA,0,2024,3,3-2024
2024-03-01,Guinea,GIN,0,2024,3,3-2024
2024-03-01,Guinea-Bissau,GNB,0,2024,3,3-2024
2024-03-01,Kenya,KEN,0,2024,3,3-2024
2024-03-01,Liberia,LBR,8,2024,3,3-2024
2024-03-01,Madagascar,MDG,0,2024,3,3-2024
2024-03-01,Malawi,MWI,0,2024,3,3-2024
2024-03-01,Mali,MLI,1122,2024,3,3-2024
2024-03-01,Mauritania,MRT,243,2024,3,3-2024
2024-03-01,Mauritius,MUS,2067,2024,3,3-2024
2024-03-01,Mozambique,MOZ,0,2024,3,3-2024
2024-03-01,Namibia,NAM,0,2024,3,3-2024
2024-03-01,Niger,NER,31,2024,3,3-2024
2024-03-01,Rwanda,RWA,0,2024,3,3-2024
2024-03-01,Sao Tome and Principe,STP,3,2024,3,3-2024
2024-03-01,Senegal,SEN,29,2024,3,3-2024
2024-03-01,Seychelles,SYC,395,2024,3,3-2024
2024-03-01,Sierra Leone,SLE,0,2024,3,3-2024
2024-03-01,South Sudan,SSD,0,2024,3,3-2024
2024-03-01,Togo,TGO,0,2024,3,3-2024
