"iso3","country_name","country","od_region","pipeline_included","has_radial_plot","has_complete_data","display_tier"
"TCA","Turks & Caicos Islands","Turks and Caicos Islands","Caribbean",TRUE,TRUE,TRUE,"complete_data"
"AUS","Australia","Australia","Pacific Islands",TRUE,TRUE,TRUE,"complete_data"
"COK","Cook Islands","Cook Islands","Pacific Islands",TRUE,TRUE,TRUE,"complete_data"
"FJI","Fiji","Fiji","Pacific Islands",TRUE,TRUE,TRUE,"complete_data"
"PYF","French Polynesia","French Polynesia","Pacific Islands",TRUE,TRUE,TRUE,"complete_data"
"KIR","Kiribati","Kiribati","Pacific Islands",TRUE,TRUE,TRUE,"complete_data"
"MHL","Marshall Islands","Marshall Islands","Pacific Islands",TRUE,TRUE,TRUE,"complete_data"
"FSM","Micronesia (Federated States of)","Micronesia (Federated States of)","Pacific Islands",TRUE,TRUE,TRUE,"complete_data"
"NCL","New Caledonia","New Caledonia","Pacific Islands",TRUE,TRUE,TRUE,"complete_data"
"PLW","Palau","Palau","Pacific Islands",TRUE,TRUE,TRUE,"complete_data"
"WSM","Samoa","Samoa","Pacific Islands",TRUE,TRUE,TRUE,"complete_data"
"SLB","Solomon Islands","Solomon Islands","Pacific Islands",TRUE,TRUE,TRUE,"complete_data"
"TON","Tonga","Tonga","Pacific Islands",TRUE,TRUE,TRUE,"complete_data"
"TUV","Tuvalu","Tuvalu","Pacific Islands",TRUE,TRUE,TRUE,"complete_data"
"VUT","Vanuatu","Vanuatu","Pacific Islands",TRUE,TRUE,TRUE,"complete_data"
"WLF","Wallis & Futuna","Wallis and Futuna","Pacific Islands",TRUE,TRUE,TRUE,"complete_data"
"AFG","Afghanistan","Afghanistan","South Asia",TRUE,TRUE,TRUE,"complete_data"
"BGD","Bangladesh","Bangladesh","South Asia",TRUE,TRUE,TRUE,"complete_data"
"BTN","Bhutan","Bhutan","South Asia",TRUE,TRUE,TRUE,"complete_data"
"IND","India","India","South Asia",TRUE,TRUE,TRUE,"complete_data"
"MDV","Maldives","Maldives","South Asia",TRUE,TRUE,TRUE,"complete_data"
"NPL","Nepal","Nepal","South Asia",TRUE,TRUE,TRUE,"complete_data"
"PAK","Pakistan","Pakistan","South Asia",TRUE,TRUE,TRUE,"complete_data"
"LKA","Sri Lanka","Sri Lanka","South Asia",TRUE,TRUE,TRUE,"complete_data"
"BLZ","Belize","Belize","North & Central America",TRUE,TRUE,TRUE,"complete_data"
"CRI","Costa Rica","Costa Rica","North & Central America",TRUE,TRUE,TRUE,"complete_data"
"SLV","El Salvador","El Salvador","North & Central America",TRUE,TRUE,TRUE,"complete_data"
"GTM","Guatemala","Guatemala","North & Central America",TRUE,TRUE,TRUE,"complete_data"
"HND","Honduras","Honduras","North & Central America",TRUE,TRUE,TRUE,"complete_data"
"MEX","Mexico","Mexico","North & Central America",TRUE,TRUE,TRUE,"complete_data"
"NIC","Nicaragua","Nicaragua","North & Central America",TRUE,TRUE,FALSE,"radial_plot_only"
"PAN","Panama","Panama","North & Central America",TRUE,TRUE,TRUE,"complete_data"
"USA","United States","United States of America","North & Central America",TRUE,TRUE,TRUE,"complete_data"
"BFA","Burkina Faso","Burkina Faso","Sub-Saharan Africa",TRUE,TRUE,TRUE,"complete_data"
"CIV","Côte d’Ivoire","Côte d'Ivoire","Sub-Saharan Africa",TRUE,TRUE,TRUE,"complete_data"
"ERI","Eritrea","Eritrea","Sub-Saharan Africa",TRUE,TRUE,TRUE,"complete_data"
"ETH","Ethiopia","Ethiopia","Sub-Saharan Africa",TRUE,TRUE,FALSE,"radial_plot_only"
"KEN","Kenya","Kenya","Sub-Saharan Africa",TRUE,TRUE,TRUE,"complete_data"
"MRT","Mauritania","Mauritania","Sub-Saharan Africa",TRUE,TRUE,TRUE,"complete_data"
"REU","Réunion","Réunion","Sub-Saharan Africa",TRUE,TRUE,TRUE,"complete_data"
"SEN","Senegal","Senegal","Sub-Saharan Africa",TRUE,TRUE,TRUE,"complete_data"
"SYC","Seychelles","Seychelles","Sub-Saharan Africa",TRUE,TRUE,TRUE,"complete_data"
"TZA","Tanzania","United Republic of Tanzania","Sub-Saharan Africa",TRUE,TRUE,FALSE,"radial_plot_only"
"BRN","Brunei","Brunei darussalam","East & Southeast Asia",TRUE,TRUE,FALSE,"radial_plot_only"
"KHM","Cambodia","Cambodia","East & Southeast Asia",TRUE,TRUE,TRUE,"complete_data"
"CHN","China","China","East & Southeast Asia",TRUE,TRUE,TRUE,"complete_data"
"IDN","Indonesia","Indonesia","East & Southeast Asia",TRUE,TRUE,FALSE,"radial_plot_only"
"LAO","Laos","Lao People's Democratic Republic","East & Southeast Asia",TRUE,TRUE,TRUE,"complete_data"
"MYS","Malaysia","Malaysia","East & Southeast Asia",TRUE,TRUE,TRUE,"complete_data"
"MMR","Myanmar (Burma)","Myanmar","East & Southeast Asia",TRUE,TRUE,TRUE,"complete_data"
"PHL","Philippines","Philippines","East & Southeast Asia",TRUE,TRUE,FALSE,"radial_plot_only"
"SGP","Singapore","Singapore","East & Southeast Asia",TRUE,TRUE,TRUE,"complete_data"
"TWN","Taiwan","Taiwan","East & Southeast Asia",TRUE,TRUE,FALSE,"radial_plot_only"
"THA","Thailand","Thailand","East & Southeast Asia",TRUE,TRUE,TRUE,"complete_data"
"TLS","Timor-Leste","Timor-Leste","East & Southeast Asia",TRUE,TRUE,TRUE,"complete_data"
"VNM","Vietnam","Viet Nam","East & Southeast Asia",TRUE,TRUE,TRUE,"complete_data"
"OMN","Oman","Oman","Europe, Middle East & North Africa",TRUE,TRUE,FALSE,"radial_plot_only"
"SAU","Saudi Arabia","Saudi Arabia","Europe, Middle East & North Africa",TRUE,TRUE,FALSE,"radial_plot_only"
"SDN","Sudan","Sudan","Europe, Middle East & North Africa",TRUE,TRUE,TRUE,"complete_data"
"YEM","Yemen","Yemen","Europe, Middle East & North Africa",TRUE,TRUE,FALSE,"radial_plot_only"
