iso3,origin_date,horizon,target_date,.pred,.pred_lower50,.pred_upper50,.pred_lower90,.pred_upper90,model,window_type,n_train_months,n_gap_in_window,actual
COK,2016-01-01,2,2016-03-01,NA,NA,NA,NA,NA,glm_ar1,expanding,24,1,NA
COK,2016-01-01,3,2016-04-01,NA,NA,NA,NA,NA,glm_ar1,expanding,24,1,NA
COK,2016-01-01,4,2016-05-01,NA,NA,NA,NA,NA,glm_ar1,expanding,24,1,NA
COK,2016-01-01,5,2016-06-01,NA,NA,NA,NA,NA,glm_ar1,expanding,24,1,NA
COK,2016-01-01,6,2016-07-01,NA,NA,NA,NA,NA,glm_ar1,expanding,24,1,NA
COL,2016-01-01,1,2016-02-01,8883,1856,12257,207,29326,glm_ar1,expanding,72,0,11834
COL,2016-01-01,2,2016-03-01,6031,1260,8321,141,19910,glm_ar1,expanding,72,0,10080
COL,2016-01-01,3,2016-04-01,4568,954,6303,106,15082,glm_ar1,expanding,72,0,10094
COL,2016-01-01,4,2016-05-01,3743,782,5165,87,12359,glm_ar1,expanding,72,0,13312
COL,2016-01-01,5,2016-06-01,3245,678,4478,75,10714,glm_ar1,expanding,72,0,9199
COL,2016-01-01,6,2016-07-01,2929,612,4042,68,9672,glm_ar1,expanding,72,0,8850
CRI,2016-01-01,1,2016-02-01,4169,871,5753,97,13765,glm_ar1,expanding,71,0,2145
CRI,2016-01-01,2,2016-03-01,3506,732,4837,82,11575,glm_ar1,expanding,71,0,967
CRI,2016-01-01,3,2016-04-01,3096,647,4272,72,10223,glm_ar1,expanding,71,0,747
CRI,2016-01-01,4,2016-05-01,2832,592,3908,66,9351,glm_ar1,expanding,71,0,1619
CRI,2016-01-01,5,2016-06-01,2657,555,3666,62,8773,glm_ar1,expanding,71,0,2573
CRI,2016-01-01,6,2016-07-01,2538,530,3502,59,8380,glm_ar1,expanding,71,0,4676
CUB,2016-01-01,1,2016-02-01,307,64,424,7,1016,glm_ar1,expanding,22,0,81
CUB,2016-01-01,2,2016-03-01,541,113,747,12,1788,glm_ar1,expanding,22,0,68
CUB,2016-01-01,3,2016-04-01,812,169,1120,19,2681,glm_ar1,expanding,22,0,60
CUB,2016-01-01,4,2016-05-01,1085,226,1497,25,3583,glm_ar1,expanding,22,0,81
CUB,2016-01-01,5,2016-06-01,1336,279,1843,31,4411,glm_ar1,expanding,22,0,114
CUB,2016-01-01,6,2016-07-01,1550,324,2139,36,5119,glm_ar1,expanding,22,0,142
CUW,2016-01-01,1,2016-02-01,NA,NA,NA,NA,NA,glm_ar1,expanding,48,0,NA
CUW,2016-01-01,2,2016-03-01,NA,NA,NA,NA,NA,glm_ar1,expanding,48,0,NA
CUW,2016-01-01,3,2016-04-01,NA,NA,NA,NA,NA,glm_ar1,expanding,48,0,NA
CUW,2016-01-01,4,2016-05-01,NA,NA,NA,NA,NA,glm_ar1,expanding,48,0,NA
CUW,2016-01-01,5,2016-06-01,NA,NA,NA,NA,NA,glm_ar1,expanding,48,0,NA
CUW,2016-01-01,6,2016-07-01,NA,NA,NA,NA,NA,glm_ar1,expanding,48,0,NA
