"country","iso3","year","ext_date","EW","onset_date","total_den","total_corrected_cases","total_applied_cases","d","rf","correction_applied","correction_excluded","correction_reason"
"Belize","BLZ",2024,"20260805",40,2024-09-30,1016,NA,1016,96,NA,FALSE,TRUE,"country_excluded"
"Belize","BLZ",2025,"20260805",40,2025-09-29,1964,NA,1964,44,NA,FALSE,TRUE,"country_excluded"
"Belize","BLZ",2026,"20260805",15,2026-04-06,317,NA,317,17,NA,FALSE,TRUE,"country_excluded"
"Costa Rica","CRI",2026,"20260805",28,2026-07-06,2194,2041,2041,4,0.9304289202201,TRUE,FALSE,"applied_mean"
"Costa Rica","CRI",2024,"20260805",40,2024-09-30,25830,NA,25830,96,NA,FALSE,TRUE,"no_lookup_match"
"Costa Rica","CRI",2025,"20260805",40,2025-09-29,3798,3798,3798,44,1,TRUE,FALSE,"applied_mean"
"El Salvador","SLV",2024,"20260805",40,2024-09-30,6879,NA,6879,96,NA,FALSE,TRUE,"no_lookup_match"
"El Salvador","SLV",2025,"20260805",40,2025-09-29,4880,4880,4880,44,1,TRUE,FALSE,"applied_mean"
"El Salvador","SLV",2026,"20260805",28,2026-07-06,2723,2723,2723,4,1,TRUE,FALSE,"applied_mean"
"Guatemala","GTM",2025,"20260805",40,2025-09-29,40032,40032,40032,44,1,TRUE,FALSE,"applied_mean"
"Guatemala","GTM",2026,"20260805",26,2026-06-22,15679,20887,20887,6,1.33219132467273,TRUE,FALSE,"applied_mean"
"Guatemala","GTM",2024,"20260805",40,2024-09-30,150739,NA,150739,96,NA,FALSE,TRUE,"no_lookup_match"
"Honduras","HND",2024,"20260805",40,2024-09-30,162092,NA,162092,96,NA,FALSE,TRUE,"no_lookup_match"
"Honduras","HND",2025,"20260805",40,2025-09-29,13644,13644,13644,44,1,TRUE,FALSE,"applied_mean"
"Honduras","HND",2026,"20260805",27,2026-06-29,5543,5542,5542,5,0.999830321426488,TRUE,FALSE,"applied_mean"
"Mexico","MEX",2024,"20260805",40,2024-09-30,376307,NA,376307,96,NA,FALSE,TRUE,"no_lookup_match"
"Mexico","MEX",2025,"20260805",40,2025-09-29,101899,101899,101899,44,1,TRUE,FALSE,"applied_mean"
