"","country","iso3","Month","season_nMonth","nb_size","nb_mean","Ave_season_monthly_cases","Ave_season_monthly_cum_cases","Ave_cum_monthly_proportion","Ave_monthly_proportion","Year","date","cases","source","Data_status","Predicted_total_seasonal_cases","cum_todate_cases_calendar","cum_todate_cases_season","percentile_most_recent","Country","Region"
"66","Australia","AUS",8,12,1.43202396937069,78.8333333333332,78.8333333333333,1287.66666666667,1,0.0710628782452522,2025,2025-08-01,114,"WHO","Observed",114,1437,NA,77.2054442931295,"Australia","Pacific Islands"
"67","Australia","AUS",7,11,1.55746333914867,105.333333333333,105.333333333333,1208.83333333333,0.928937121754748,0.0900628866181923,2025,2025-07-01,151,"WHO","Observed",163,1323,NA,80.1900239490566,"Australia","Pacific Islands"
"68","Australia","AUS",12,4,1026224.86888136,92.9166666666667,92.9166666666667,338.833333333333,0.280895398863256,0.0727084464965944,2025,2025-12-01,NA,NA,"Unobserved",NA,NA,NA,4.45277871807715e-39,"Australia","Pacific Islands"
"69","Australia","AUS",10,2,1530678.09731509,93.4999999999999,93.5,160.333333333333,0.134732508736457,0.0797334818613263,2025,2025-10-01,NA,NA,"Unobserved",NA,NA,NA,2.48145324706996e-39,"Australia","Pacific Islands"
"70","Australia","AUS",6,10,1.51774477198356,92.5,92.5,1103.5,0.838874235136555,0.0737462923342449,2025,2025-06-01,120,"WHO","Observed",143,1172,NA,80.0427103270247,"Australia","Pacific Islands"
"71","Australia","AUS",4,8,1.36984835917909,120.083333333334,120.083333333333,898.833333333333,0.681893447689702,0.0824209435989217,2024,2024-04-01,349,"WHO","Observed",512,774,NA,99.3233889300256,"Australia","Pacific Islands"
"72","Australia","AUS",12,4,1026224.86888136,92.9166666666667,92.9166666666667,338.833333333333,0.280895398863256,0.0727084464965944,2024,2024-12-01,162,"WHO","Observed",577,2381,NA,100,"Australia","Pacific Islands"
"73","Bangladesh","BGD",2,1,45436.1616956747,1.42857142857143,1.42857142857143,1.42857142857143,0.00284758905462603,0.00284758905462603,2025,2025-02-01,374,"SEARO","Observed",131339,1535,713,100,"Bangladesh","South Asia"
"74","Bangladesh","BGD",1,12,91120.4346317151,17.1428571428572,17.1428571428571,2011.42857142857,1,0.00381687383249805,2025,2025-01-01,1161,"SEARO","Observed",1161,1161,148556,100,"Bangladesh","South Asia"
"75","Bangladesh","BGD",10,9,0.88353213661896,380.428571428572,380.428571428571,1787.28571428571,0.913249011274831,0.165457342295709,2024,2024-10-01,30879,"SEARO","Observed",33812,61817,106943,100,"Bangladesh","South Asia"
"76","Bangladesh","BGD",12,11,0.317923881203683,43.5714285714286,43.5714285714286,1994.28571428571,0.996183126167502,0.0167858196185216,2025,2025-12-01,0,"SEARO","Observed",0,47342,146340,20.8752383117261,"Bangladesh","South Asia"
"77","Bangladesh","BGD",8,7,1.3345341079755,529,529,876.571428571429,0.480194833322961,0.2945047392688,2024,2024-08-01,6521,"SEARO","Observed",13580,12841,31605,99.9999999999995,"Bangladesh","South Asia"
