"","country","iso3","Month","season_nMonth","nb_size","nb_mean","Ave_season_monthly_cases","Ave_season_monthly_cum_cases","Ave_cum_monthly_proportion","Ave_monthly_proportion"
"411","Honduras","HND",5,3,1.45721724343327,2076,2076,5227.33333333333,0.172833725730135,0.0691054107430022
"412","Honduras","HND",6,4,1.32090336918149,3252.33333333333,3252.33333333333,8479.66666666667,0.277394837940133,0.104561112209998
"413","Honduras","HND",7,5,1.42637612475901,3162.33333333333,3162.33333333333,11642,0.381884851061557,0.104490013121424
"414","Honduras","HND",8,6,1.60028474114277,2835.33333333332,2835.33333333333,14477.3333333333,0.479446591741389,0.0975617406798325
"415","Honduras","HND",9,7,1.5122641247414,2541.33333333333,2541.33333333333,17018.6666666667,0.565342693491337,0.0858961017499477
"416","Honduras","HND",10,8,1.35264663906584,3067.66666666666,3067.66666666667,20086.3333333333,0.664826234532977,0.0994835410416396
"417","Honduras","HND",11,9,1.33860840419216,2657.00000000001,2657,22743.3333333333,0.750861739746411,0.0860355052134344
"418","Honduras","HND",12,10,1.42239328285909,1866.66666666666,1866.66666666667,24610,0.812829919061736,0.0619681793153249
"419","Honduras","HND",1,11,2.41541129483005,1661,1661,26271,0.922989068258237,0.110159149196501
"420","Honduras","HND",2,12,2.51625448970575,1180.33333333333,1180.33333333333,27451.3333333333,1,0.0770109317417633
"421","India","IND",4,1,1.8590811056603,2554.64285714285,2554.64285714286,2554.64285714286,0.021149988756168,0.021149988756168
"422","India","IND",5,2,1.91429180451799,3465.07142857143,3465.07142857143,6019.71428571429,0.0498584300316749,0.0287084412755069
"423","India","IND",6,3,1.88799893988738,5513.92857142859,5513.92857142857,11533.6428571429,0.0948173750830051,0.0449589450513301
"424","India","IND",7,4,1.866003303385,9546.35714285716,9546.35714285714,21080,0.172508243736794,0.0776908686537889
"425","India","IND",8,5,1.86938428240917,13319.8571428571,13319.8571428571,34399.8571428571,0.280347274263504,0.10783903052671
"426","India","IND",9,6,1.93857432990136,18241.4285714285,18241.4285714286,52641.2857142857,0.429232849498534,0.14888557523503
"427","India","IND",10,7,1.86170413156018,24229.2857142858,24229.2857142857,76870.5714285714,0.625675509160506,0.196442659661971
