country,iso3,Month,season_nMonth,nb_size,nb_mean,Ave_season_monthly_cases,Ave_season_monthly_cum_cases,Ave_cum_monthly_proportion,Ave_monthly_proportion
Maldives,MDV,8,8,2.8295919919951014,122.37499999999974,122.375,990.125,0.7276567651381346,0.09684285842583697
Maldives,MDV,9,9,2.4380254202968374,99.37499999999982,99.375,1089.5,0.8023879753916773,0.07473121025354271
Maldives,MDV,10,10,1.9643084272558753,98.87500000000001,98.875,1188.375,0.8760527352983101,0.07366475990663282
Maldives,MDV,11,11,2.046945621288735,78.2500000000001,78.25,1266.625,0.9405369706865551,0.06448423538824498
Maldives,MDV,12,12,2.9541402282745537,73.49999999999997,73.5,1340.125,1,0.059463029313444916
Saudi Arabia,SAU,10,1,3.5719028066566567,85.42857142857153,85.42857142857143,85.42857142857143,0.027524549132568098,0.027524549132568098
Saudi Arabia,SAU,11,2,5.423692916627948,98.1428571428571,98.14285714285714,183.57142857142858,0.058373380900911286,0.030848831768343184
Saudi Arabia,SAU,12,3,4.219875527243108,157.42857142857162,157.42857142857142,341,0.1031907671930497,0.04481738629213842
Saudi Arabia,SAU,1,4,2.03791077722528,242.28571428571408,242.28571428571428,583.2857142857143,0.1625752394473374,0.05938447225428771
Saudi Arabia,SAU,2,5,2.0449006422567098,211.00000000000003,211,794.2857142857143,0.21441156370333572,0.051836324255998316
Saudi Arabia,SAU,3,6,3.6206911803587754,303.14285714285734,303.14285714285717,1097.4285714285713,0.29212745957131453,0.07771589586797882
Saudi Arabia,SAU,4,7,3.2157466058253212,486.8571428571431,486.85714285714283,1584.2857142857142,0.4121096775545784,0.11998221798326383
Saudi Arabia,SAU,5,8,4.3316246457288035,891.2857142857122,891.2857142857143,2475.5714285714284,0.6401341634033462,0.2280244858487678
Saudi Arabia,SAU,6,9,4.949349900229929,687.2857142857137,687.2857142857143,3162.8571428571427,0.8229789895682097,0.18284482616486347
Saudi Arabia,SAU,7,10,6.988071778328931,393.5714285714294,393.57142857142856,3556.4285714285716,0.9293229967217395,0.10634400715352975
Saudi Arabia,SAU,8,11,5.013624043575343,168.71428571428567,168.71428571428572,3725.1428571428573,0.9750997289769556,0.045776732255216245
Saudi Arabia,SAU,9,12,4.387484058138778,95.71428571428561,95.71428571428571,3820.8571428571427,1,0.02490027102304433
Thailand,THA,2,1,3.931597920403124,1562.9166666666679,1562.9166666666667,1562.9166666666667,0.03778284341904403,0.03778284341904403
Thailand,THA,3,2,3.6468167972503656,1748.0833333333258,1748.0833333333333,3311,0.0783228577147618,0.04054001429571777
Thailand,THA,4,3,2.8519543319280354,1824.1666666666629,1824.1666666666667,5135.166666666667,0.11732264067272545,0.038999782957963663
Thailand,THA,5,4,2.784381254757133,3630.3333333333517,3630.3333333333335,8765.5,0.19688728031675973,0.07956463964403428
Thailand,THA,6,5,2.3903365750465997,6645.750000000007,6645.75,15411.25,0.33507042128001074,0.13818314096325104
Thailand,THA,7,6,2.0749276547232456,8295.583333333312,8295.583333333334,23706.833333333332,0.4995885691689414,0.16451814788893065
Thailand,THA,8,7,2.2739265661215717,7590.749999999997,7590.75,31297.583333333332,0.6527303959867365,0.1531418268177951
Thailand,THA,9,8,2.207205289157916,5424.166666666656,5424.166666666667,36721.75,0.7616260588744949,0.10889566288775837
Thailand,THA,10,9,2.1751458155087167,3866.333333333335,3866.3333333333335,40588.083333333336,0.8400622173657435,0.07843615849124864
Thailand,THA,11,10,1.7465939773731227,3603.6666666666647,3603.6666666666665,44191.75,0.9119265647164857,0.0718643473507422
Thailand,THA,12,11,2.135856844040115,1980.4166666666683,1980.4166666666667,46172.166666666664,0.9544234322604502,0.042496867543964534
Thailand,THA,1,12,2.3643165949227507,1858.5833333333328,1858.5833333333333,48030.75,1,0.04557656773954975
