iso3,country,region,first_date,last_date,n_months,n_observed,n_corrected,n_estimated,span_years,pct_estimated,n_complete_seasons,first_season,last_season,n_gap_months,total_cases,mean_monthly_cases,median_monthly_cases,max_monthly_cases,cv_monthly,zero_month_fraction,seasonal_concentration,top3_month_share,peak_month,peak_to_trough_ratio,seasonality_signal,endemicity,strata_provisional
MMR,Myanmar,East & Southeast Asia,2010-02-01,2026-07-01,198,197,0,1,16.410677618069816,0.005050505050505051,16,2010/2011,2025/2026,0,281337,1420.893939393939,670.5,12544,1.3814716748007645,0.13131313131313133,0.16911254741163678,0.6452702501237051,7,184.710027100271,strong,emerging,TRUE
LAO,Lao People's Democratic Republic,East & Southeast Asia,2010-02-01,2026-07-01,198,186,11,1,16.410677618069816,0.005050505050505051,16,2010/2011,2025/2026,0,253945,1282.5505050505049,554.5,9862,1.4790334749078073,0,0.12561676032097815,0.5149759467889921,7,14.55063455063455,strong,endemic,TRUE
SGP,Singapore,East & Southeast Asia,2010-02-01,2026-07-01,198,186,11,1,16.410677618069816,0.005050505050505051,16,2010/2011,2025/2026,0,203881,1029.70202020202,610,6567,1.0874080839435007,0,0.08775308605663928,0.334131298837425,6,2.5116104868913856,weak,endemic,TRUE
CHN,China,East & Southeast Asia,2010-03-01,2026-07-01,173,162,10,1,16.334017796030118,0.005780346820809248,14,2010/2011,2025/2026,24,148770,859.9421965317918,43,28757,3.2774279258314563,0.32947976878612717,0.25662673815917264,0.793811405460045,10,378.5361445783117,strong,emerging,TRUE
TWN,Taiwan,East & Southeast Asia,2010-03-01,2024-02-01,108,108,0,0,13.921971252566735,0,9,2010/2011,2023/2024,60,91057,843.1203703703707,17.5,13960,2.839347578726536,0.18518518518518517,0.17911795722724397,0.672581101751355,9,2384.000000000006,strong,emerging,TRUE
TLS,Timor-Leste,East & Southeast Asia,2010-09-01,2026-07-01,191,190,0,1,15.83025325119781,0.005235602094240838,15,2010/2011,2024/2025,0,23139,121.14659685863872,47,2105,2.06912216545283,0.14659685863874344,0.1569903126964234,0.6139090729291801,2,18.589622641509454,strong,emerging,TRUE
BRN,Brunei,East & Southeast Asia,2010-05-01,2024-04-01,168,168,0,0,13.919233401779604,0,14,2010/2011,2023/2024,0,4776,28.428571428571445,16,262,1.5354712532355184,0,0.08509377653900226,0.294670601051478,1,1.5895061728395097,weak,emerging,TRUE
YEM,Yemen,"Europe, Middle East & North Africa",2015-04-01,2024-03-01,84,84,0,0,8.917180013689254,0,7,2015/2016,2023/2024,24,248224,2955.0476190476197,1861,25962,1.4556258140461653,0,0.09062362242946313,0.359086992509509,11,3.6432694950975884,weak,emerging,TRUE
SDN,Sudan,"Europe, Middle East & North Africa",2010-05-01,2026-07-01,111,98,7,6,16.16700889801506,0.05405405405405406,9,2010/2011,2025/2026,84,96359,868.0990990991,81,25882,3.32329014363839,0.11711711711711711,0.22373614482078005,0.737209385180702,10,180.52542372881356,strong,emerging,TRUE
SAU,Saudi Arabia,"Europe, Middle East & North Africa",2010-10-01,2024-09-01,168,168,0,0,13.919233401779604,0,14,2010/2011,2023/2024,0,67483,401.684523809524,215.5,3608,1.3451385021235611,0.023809523809523808,0.10829648606324613,0.44324195888918294,5,7.191912268677156,moderate,endemic,TRUE
OMN,Oman,"Europe, Middle East & North Africa",2018-04-01,2023-03-01,60,60,0,0,4.914442162902122,0,5,2018/2019,2022/2023,0,2961,49.35000000000002,5,621,2.121164465301627,0.1,0.10628376551278489,0.42519521416081407,4,16.05128205128205,moderate,emerging,TRUE
MEX,Mexico,North & Central America,2010-02-01,2026-07-01,198,186,11,1,16.410677618069816,0.005050505050505051,16,2010/2011,2025/2026,0,2666837,13468.873737373737,7126.5,125935,1.27886703036739,0,0.12349683387349566,0.5095607150709209,10,7.645416021867724,moderate,endemic,TRUE
NIC,Nicaragua,North & Central America,2010-03-01,2024-02-01,168,168,0,0,13.921971252566735,0,14,2010/2011,2023/2024,0,1013298,6031.535714285718,4078,36953,1.0142920406124643,0,0.09406665624778032,0.369385812206878,10,3.417132616487455,weak,endemic,TRUE
HND,Honduras,North & Central America,2010-02-01,2026-07-01,198,186,11,1,16.410677618069816,0.005050505050505051,16,2010/2011,2025/2026,0,683250,3450.757575757578,1696.5,37433,1.6401317795180472,0,0.08901825305567561,0.34010535165816,7,3.9377434878924453,weak,endemic,TRUE
GTM,Guatemala,North & Central America,2010-02-01,2026-07-01,198,186,11,1,16.410677618069816,0.005050505050505051,16,2010/2011,2025/2026,0,510643,2579.0050505050535,844,35365,1.9231849341719862,0,0.0939027176894726,0.37031138555606696,9,4.96983380370022,weak,endemic,TRUE
CRI,Costa Rica,North & Central America,2010-03-01,2026-07-01,197,185,11,1,16.334017796030118,0.005076142131979695,16,2010/2011,2025/2026,0,333974,1695.2994923857866,920,10316,1.165584960458848,0,0.09816650505765608,0.380798503037368,8,4.1981938240435035,moderate,endemic,TRUE
SLV,El Salvador,North & Central America,2010-02-01,2026-07-01,198,186,11,1,16.410677618069816,0.005050505050505051,16,2010/2011,2025/2026,0,316652,1599.2525252525265,803,12774,1.1916259636637567,0,0.09146961047607502,0.35833854188038106,8,3.8581963435243507,weak,endemic,TRUE
PAN,Panama,North & Central America,2010-04-01,2026-07-01,196,184,11,1,16.249144421629023,0.00510204081632653,16,2010/2011,2025/2026,0,162599,829.586734693879,485.5,6687,1.2309201417565463,0,0.09570557960108492,0.347726324911999,7,4.476136363636364,weak,endemic,TRUE
BLZ,Belize,North & Central America,2010-03-01,2026-07-01,197,194,0,3,16.334017796030118,0.015228426395939087,16,2010/2011,2025/2026,0,58071,294.776649746193,200,2671,1.1994577004694933,0.005076142131979695,0.09293898846177796,0.377638194979679,9,3.4569798068481123,weak,endemic,TRUE
USA,United States Of America,North & Central America,2010-03-01,2026-07-01,185,184,0,1,16.334017796030118,0.005405405405405406,15,2010/2011,2025/2026,12,11553,62.44864864864864,31,653,1.3479294540304476,0.07027027027027027,0.10254422608246187,0.400476752927057,9,3.9322799097065393,moderate,endemic,TRUE
