iso3,country,region,seasonality_signal,endemicity,seasonal_concentration,mean_monthly_cases,n_complete_seasons,zero_month_fraction,strata_provisional
KHM,Cambodia,East & Southeast Asia,moderate,endemic,0.11848897899646685,1999.3888888888878,16,0.015151515151515152,TRUE
MMR,Myanmar,East & Southeast Asia,strong,emerging,0.16911254741163678,1420.893939393939,16,0.13131313131313133,TRUE
LAO,Lao People's Democratic Republic,East & Southeast Asia,strong,endemic,0.12561676032097815,1282.5505050505049,16,0,TRUE
SGP,Singapore,East & Southeast Asia,weak,endemic,0.08775308605663928,1029.70202020202,16,0,TRUE
CHN,China,East & Southeast Asia,strong,emerging,0.25662673815917264,859.9421965317918,14,0.32947976878612717,TRUE
TWN,Taiwan,East & Southeast Asia,strong,emerging,0.17911795722724397,843.1203703703707,9,0.18518518518518517,TRUE
TLS,Timor-Leste,East & Southeast Asia,strong,emerging,0.1569903126964234,121.14659685863872,15,0.14659685863874344,TRUE
BRN,Brunei,East & Southeast Asia,weak,emerging,0.08509377653900226,28.428571428571445,14,0,TRUE
YEM,Yemen,"Europe, Middle East & North Africa",weak,emerging,0.09062362242946313,2955.0476190476197,7,0,TRUE
SDN,Sudan,"Europe, Middle East & North Africa",strong,emerging,0.22373614482078005,868.0990990991,9,0.11711711711711711,TRUE
SAU,Saudi Arabia,"Europe, Middle East & North Africa",moderate,endemic,0.10829648606324613,401.684523809524,14,0.023809523809523808,TRUE
OMN,Oman,"Europe, Middle East & North Africa",moderate,emerging,0.10628376551278489,49.35000000000002,5,0.1,TRUE
MEX,Mexico,North & Central America,moderate,endemic,0.12349683387349566,13468.873737373737,16,0,TRUE
NIC,Nicaragua,North & Central America,weak,endemic,0.09406665624778032,6031.535714285718,14,0,TRUE
HND,Honduras,North & Central America,weak,endemic,0.08901825305567561,3450.757575757578,16,0,TRUE
GTM,Guatemala,North & Central America,weak,endemic,0.0939027176894726,2579.0050505050535,16,0,TRUE
CRI,Costa Rica,North & Central America,moderate,endemic,0.09816650505765608,1695.2994923857866,16,0,TRUE
SLV,El Salvador,North & Central America,weak,endemic,0.09146961047607502,1599.2525252525265,16,0,TRUE
PAN,Panama,North & Central America,weak,endemic,0.09570557960108492,829.586734693879,16,0,TRUE
BLZ,Belize,North & Central America,weak,endemic,0.09293898846177796,294.776649746193,16,0.005076142131979695,TRUE
USA,United States Of America,North & Central America,moderate,endemic,0.10254422608246187,62.44864864864864,15,0.07027027027027027,TRUE
FJI,Fiji,Pacific Islands,moderate,endemic,0.1033189200284532,706.2010582010577,15,0.005291005291005291,TRUE
