iso3,origin_date,horizon,target_date,.pred,.pred_lower50,.pred_upper50,.pred_lower90,.pred_upper90
KEN,2026-07-01,3,2026-10-01,1803,1040,4280,64,9131
KEN,2026-07-01,4,2026-11-01,2262,1304,5368,81,11452
KEN,2026-07-01,5,2026-12-01,1512,872,3588,54,7655
KEN,2026-07-01,6,2027-01-01,3796,2188,9008,135,19219
KHM,2026-07-01,1,2026-08-01,9732,7469,13437,5064,21225
KHM,2026-07-01,2,2026-09-01,8121,6004,9696,3517,14779
KHM,2026-07-01,3,2026-10-01,9068,5725,11325,3207,15697
KHM,2026-07-01,4,2026-11-01,7202,4121,9713,3026,15394
KHM,2026-07-01,5,2026-12-01,5175,3036,7693,938,10441
KHM,2026-07-01,6,2027-01-01,3579,2437,9332,1038,14235
KIR,2026-07-01,1,2026-08-01,5,0,64,0,72
KIR,2026-07-01,2,2026-09-01,0,0,82,0,102
KIR,2026-07-01,3,2026-10-01,0,0,13,0,29
KIR,2026-07-01,4,2026-11-01,2,0,3,0,45
KIR,2026-07-01,5,2026-12-01,1,0,2,0,50
KIR,2026-07-01,6,2027-01-01,0,0,547,0,1011
KNA,2026-07-01,1,2026-08-01,0,0,1,0,1
KNA,2026-07-01,2,2026-09-01,1,0,2,0,3
KNA,2026-07-01,3,2026-10-01,1,0,4,0,5
KNA,2026-07-01,4,2026-11-01,1,0,5,0,6
KNA,2026-07-01,5,2026-12-01,1,0,3,0,4
KNA,2026-07-01,6,2027-01-01,1,0,3,0,4
LAO,2026-07-01,1,2026-08-01,1613,1417,1987,1019,2576
LAO,2026-07-01,2,2026-09-01,1040,915,1185,505,1670
LAO,2026-07-01,3,2026-10-01,825,570,1229,347,1417
LAO,2026-07-01,4,2026-11-01,412,311,668,229,1256
LAO,2026-07-01,5,2026-12-01,259,204,443,69,1226
LAO,2026-07-01,6,2027-01-01,110,40,390,8,1377
LCA,2026-07-01,1,2026-08-01,3,2,4,1,17
LCA,2026-07-01,2,2026-09-01,8,8,15,5,75
LCA,2026-07-01,3,2026-10-01,3,3,5,1,37
LCA,2026-07-01,4,2026-11-01,4,3,5,2,22
LCA,2026-07-01,5,2026-12-01,2,2,3,2,4
LCA,2026-07-01,6,2027-01-01,1,0,2,0,10
LKA,2026-07-01,1,2026-08-01,4746,4127,6068,3267,6817
LKA,2026-07-01,2,2026-09-01,3810,3182,4713,1815,5950
LKA,2026-07-01,3,2026-10-01,3782,3290,5843,2651,7472
LKA,2026-07-01,4,2026-11-01,6577,5125,9455,2496,11013
LKA,2026-07-01,5,2026-12-01,9495,7890,12592,3676,19894
LKA,2026-07-01,6,2027-01-01,11300,8364,17451,4509,21845
MAF,2026-07-01,1,2026-08-01,3,2,3,0,5
MAF,2026-07-01,2,2026-09-01,3,3,4,1,6
MAF,2026-07-01,3,2026-10-01,7,6,8,2,18
MAF,2026-07-01,4,2026-11-01,10,7,13,3,63
MAF,2026-07-01,5,2026-12-01,7,6,9,1,33
MAF,2026-07-01,6,2027-01-01,7,4,18,1,92
MDV,2026-07-01,1,2026-08-01,469,455,665,252,1061
MDV,2026-07-01,2,2026-09-01,389,277,643,196,913
MDV,2026-07-01,3,2026-10-01,454,361,875,141,1651
MDV,2026-07-01,4,2026-11-01,415,260,639,129,1046
MDV,2026-07-01,5,2026-12-01,411,245,545,143,1088
MDV,2026-07-01,6,2027-01-01,545,194,1157,64,4254
MEX,2026-07-01,1,2026-08-01,16377,13529,20078,10829,28753
MEX,2026-07-01,2,2026-09-01,24700,17749,32080,12665,59299
MEX,2026-07-01,3,2026-10-01,26584,22955,39829,18024,59194
MEX,2026-07-01,4,2026-11-01,17331,14405,21228,10689,28046
MEX,2026-07-01,5,2026-12-01,6729,4126,8567,3161,15892
MEX,2026-07-01,6,2027-01-01,3116,2359,6762,2043,13175
MHL,2026-07-01,1,2026-08-01,30,2,77,0,935
MHL,2026-07-01,2,2026-09-01,39,3,102,0,1232
MHL,2026-07-01,3,2026-10-01,66,5,170,0,2065
MHL,2026-07-01,4,2026-11-01,111,9,289,0,3500
MHL,2026-07-01,5,2026-12-01,180,14,469,0,5689
MHL,2026-07-01,6,2027-01-01,83,6,216,0,2613
MMR,2026-07-01,1,2026-08-01,1739,1298,1854,1126,2044
MMR,2026-07-01,2,2026-09-01,1185,932,1355,579,1546
MMR,2026-07-01,3,2026-10-01,713,626,851,224,1509
MMR,2026-07-01,4,2026-11-01,451,366,595,66,1117
MMR,2026-07-01,5,2026-12-01,53,5,220,0,1927
MMR,2026-07-01,6,2027-01-01,42,0,339,0,983
MRT,2026-07-01,1,2026-08-01,77,42,283,36,357
MRT,2026-07-01,2,2026-09-01,107,59,392,50,496
MRT,2026-07-01,3,2026-10-01,137,75,499,64,631
MRT,2026-07-01,4,2026-11-01,87,48,317,40,401
MRT,2026-07-01,5,2026-12-01,45,25,166,21,210
MRT,2026-07-01,6,2027-01-01,92,50,334,43,422
MTQ,2026-07-01,1,2026-08-01,103,58,115,0,369
MTQ,2026-07-01,2,2026-09-01,200,162,273,65,452
MTQ,2026-07-01,3,2026-10-01,228,194,260,117,302
MTQ,2026-07-01,4,2026-11-01,191,95,249,43,300
MTQ,2026-07-01,5,2026-12-01,112,44,163,7,229
MTQ,2026-07-01,6,2027-01-01,191,117,623,37,1395
MYS,2026-07-01,1,2026-08-01,7012,5692,7571,4089,8780
MYS,2026-07-01,2,2026-09-01,5244,4204,6978,3502,9706
